"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"Hold <jump> to jump.","Tutorial Text","Hold <jump> to jump.","<jump> halten, um zu springen.","Maintiens <jump> pour sauter.","Tieni premuto <jump> per saltare.","Mantendu <jump> jauzi egiteko.","Удерживайте <jump>, чтобы прыгнуть.","<jump> を長おしするとジャンプできます。","Segure <jump> para saltar.","按住 <jump> 跳跃。"
"<aim> to aim your web, then hold <grapple> to grapple to a point.","Tutorial Text","<aim> to aim your web, then hold <grapple> to grapple to a point.","<aim>, um mit dem Netz zu zielen, dann <grapple> halten, um es festzukleben.","Utilise <aim> pour viser avec ta toile, puis maintiens <grapple> pour la fixer à un point.","<aim> per mirare e poi tieni premuto <grapple> per aggrappartici.","<aim> amaraunarekin apuntatzeko, gero mantendu <grapple> puntu batera lotzeko.","<aim>, чтобы навести паутину на цель, а затем нажмите <grapple>, чтобы прицепить ее к цели.","<aim> でクモの糸の ねらい（エイム）を つけます。ねらいをつけたら <grapple> を長おしして ねらったところにグラップルしましょう。","Use <aim> para mirar a teia. Segure <grapple> para grudá-la em um ponto.","<aim> 瞄准你的蛛丝，然后按住 <grapple> 抓住一个点。"
"Aim at a point and hold <weave> to to start spinning a web.","Tutorial Text","Aim at a point and hold <weave> to to start spinning a web.","Visiere eine Stelle an und halte <weave>, um ein Netz zu weben.","Vise un point et maintiens <weave> pour commencer à tisser une toile.","Mira a un punto e tieni premuto <weave> per iniziare a tessere una ragnatela.","Apuntatu puntu batera eta mantendu <weave> amarauna iruten hasteko.","Наведите прицел на точку и удерживайте <weave>, чтобы начать плести паутину.","ひとつの ばしょを えらんでエイムして <weave> を長おしすると クモの糸が はれます。","Mire me um ponto e segure <weave> para tecer uma teia.","瞄准一个点后，按住 <weave> 开始织网。"
"Now aim at a second point and release <weave> to build a bridge.","Tutorial Text","Now aim at a second point and release <weave> to build a bridge.","Ziele nun auf eine zweite Stelle und lasse <weave> los, um eine Brücke zu schlagen.","Maintenant, vise un autre point et relâche <weave> pour former un pont.","Ora mira a un secondo punto e rilascia <weave> per costruire un ponte.","Orain apuntatu bigarren puntu batera eta askatu <weave> zubi bat eraikitzeko.","Теперь наведите прицел на вторую точку и отпустите <weave>, чтобы построить соединение.","べつの ばしょにエイムして <weave> をはなすと、糸で はしが作れます。","Agora mire em um segundo ponto e solte <weave> para construir uma ponte.","现在瞄准第二个点，然后松开 <weave> 建一座丝桥。"
"<laser> to shoot lasers.","Tutorial Text","<laser> to shoot lasers.","<laser>, um mit Lasern zu schießen.","Utilise <laser> pour tirer des lasers.","<laser> per sparare laser.","<laser> laser izpiak jaurtitzeko.","Нажмите <laser> для стрельбы лазером.","<laser> でレーザーが うてます。","Use <laser> para disparar lasers.","<laser> 发射激光。"
"Hey little spider! I got a QUEST for ya!","Generic Bee","Hey little spider! I got a QUEST for ya!","Hey kleine Spinne! Ich habe eine AUFGABE für dich!","Salut, petite araignée ! J'ai une QUÊTE pour toi !","Ehi, ragnetta! Ho una MISSIONE per te!","Ei, armiarmatxo! EGITEKO bat daukat zuretzat!","Привет, паучок! У меня для тебя ЗАДАНИЕ!","やあ 小さなクモさん！　きみにクエストを よういしたよ！","Bzz-iu, aqui, aranhinha! Tenho uma MISSÃO pra você!","嗨，小蛛儿！我有个任务要给你！"
"The QUEEN is making a new PRINCESS to make a brand new hive!","Generic Bee","The QUEEN is making a new PRINCESS to make a brand new hive!","Die KÖNIGIN macht eine neue PRINZESSIN für einen brandneuen Stock!","La REINE voudrait donner naissance à une PRINCESSE afin de créer une toute nouvelle ruche !","La REGINA vuole generare una PRINCIPESSA per costruire un nuovo alveare!","ERREGINA buru-belarri dabil PRINTZESA berri bat sortu nahian, erlauntza guztiz berri bat eraikitzeko!","КОРОЛЕВА ПЧЕЛ готовит ПРИНЦЕССУ, которая возглавит новый улей!","女王さまが今、新しい王女さまを そだてておられるんだ。新しい すを 作るためにね！","A RAINHA tá criando uma nova PRINCESA pra iniciar uma colmeia novinha em folha!","女王蜂正在培养一个新的公主蜂，从而建立全新的蜂群！"
"To make a princess she needs royal jelly, and to make the jelly she needs POLLEN!","Generic Bee","To make a princess she needs royal jelly, and to make the jelly she needs POLLEN!","Für eine neue Prinzessin braucht sie Gelée royale, und dafür braucht sie wiederum POLLEN!","Pour cela, il va lui falloir du POLLEN pour fabriquer de la gelée royale !","Per generare una principessa le serve della pappa reale e per fare la pappa reale le serve del POLLINE!","Printzesa berri bat sortzeko erregina-jelea behar du, eta jelea sortzeko lore-hautsa, POLENA!","Для того, чтобы подготовить принцессу, ей нужно маточное молочко, а чтобы сделать молочко, нужна ПЫЛЬЦА!","王女さまを そだてるには ロイヤルゼリーが いる。そして ロイヤルゼリーを作るには かふんが いるんだ！","Mas, pra criar a princesa, ela precisa de geleia real, e, pra fazer a geleia real, ela precisa de PÓLEN!","要培养公主蜂就需要蜂王浆，而要酿造蜂王浆就需要花粉！"
"Only the best pollen - PINK ORCHID POLLEN! 20 Grains should do it.","Generic Bee","Only the best pollen - PINK ORCHID POLLEN! 20 Grains should do it.","Nur bester Pollen, von ROSA ORCHIDEEN! 20 Körner sollten reichen.","Et bien entendu, il lui faut le meilleur : du POLLEN D'ORCHIDÉE ROSE ! 20 grains devraient faire l'affaire.","E non del polline qualsiasi: quello di ORCHIDEA ROSA! 20 granuli dovrebbero bastare.","Goi-mailako polena soilik - ORKIDEA ARROSAREN POLENA! Nahikoa du 20 alerekin.","Но только самая лучшая — ПЫЛЬЦА РОЗОВОЙ ОРХИДЕИ! 20 зерен должно хватить.","それも さいこうきゅうの かふん――ピンクのランの かふんだけさ！　20 つぶあれば たりるかな。","E não é qualquer pólen, não! Precisa ser PÓLEN DE ORQUÍDEA ROSA! Vinte grãos deve bastar.","只能使用最好的花粉——粉色兰花的花粉！20 克应该就够了。"
"If you bring that up to Canopy's Peak, I bet she'd love ya! Come on!","Generic Bee","If you bring that up to Canopy's Peak, I bet she'd love ya! Come on!","Wenn du den zum Kronendach bringst, wäre sie sicher dankbar! Na komm!","Si tu lui amènes ça au Pic de la canopée, elle va t'adorer, pour sûr ! Alors à toi de jouer !","Porta quel polline a Picco frondoso e vedrai che ti adorerà! Coraggio!","Ale horiek Zuhaitzetako Gainera eramaten badituzu asko poztuko da! Ekin ba lanari!","Принеси пыльцу на Вершину Кроны, и она в долгу не останется! Пойдем!","森のかんむりに かふんを もってきてくれたら、女王さまも大よろこびの はずさ！　さあ、いそいで！","Se trouxer isso até o Alto das Copas, aposto que ela vai adorar!","如果你能把它们带到树冠之巅，她肯定会很喜欢你的！快去吧！"
"Bring 20 pollen to the QUEEN","Journal quest text","Bring 20 pollen to the QUEEN","Bringe der KÖNIGIN 20 Pollen","Amène 20 grains de pollen à la REINE","Porta 20 granuli di polline alla REGINA","Eraman 20 polen ale ERREGINAri","Принести КОРОЛЕВЕ ПЧЕЛ 20 зерен пыльцы","女王さまに かふんを 20 つぶ もっていく","Traga 20 grãos de pólen para a RAINHA","给女王蜂带 20 克花粉"
"Oh, G'day there!","Generic Bee","Oh, G'day there!","Oh, hallihallo!","Oh, bonjour mademoiselle !","Ehilà, buongiorno!","Oi, egun on!","О, привет!","やあ おちびさん！","Dia, dona aranha!","哦，你好呀！"
"Are you on the quest for pollen too?","Generic Bee","Are you on the quest for pollen too?","Bist du auch auf der Suche nach Pollen?","Toi aussi tu fais la quête pour le pollen ?","Sei qui anche tu per cercare polline?","Zu ere polena biltzeko lanetan zabiltza?","Ты тоже собираешь пыльцу?","きみも かふんあつめかい？","Está em busca de pólen também?","你也在执行花粉任务吗？"
"I hope we get enough. I can't wait to meet the new PRINCESS!","Generic Bee","I hope we get enough. I can't wait to meet the new PRINCESS!","Hoffentlich finden wir genug. Ich bin sehr gespannt auf die neue PRINZESSIN!","J'espère qu'on en aura assez. J'ai hâte de voir la nouvelle PRINCESSE !","Spero che ne troveremo abbastanza. Non vedo l'ora di conoscere la nuova PRINCIPESSA!","Ea behar beste biltzen dugun. PRINTZESA berria ezagutzeko irrikitan nago!","Надеюсь, нам хватит. Так хочется поскорее увидеть новую ПРИНЦЕССУ!","じゅうぶん あつまると いいが。新しい王女さまに会うのが まちきれないよ！","Espero que tenha o suficiente. Estou ansioso pra conhecer a nova PRINCESA!","希望我们能收集到足够的花粉。我已经等不及想见到新的公主蜂了！"
"Sure is tiring flying all over this forest though.","Generic Bee","Sure is tiring flying all over this forest though.","Es ist echt anstrengend, diesen großen Wald im Flug abzusuchen.","Mais c'est vraiment fatigant de devoir voltiger à travers toute cette forêt.","Certo che è stancante svolazzare in giro per la foresta...","Baina ez da lan erraza baso osoa hegan zeharkatzea.","Но летать по всему лесу ужасно утомительно.","しかし この森じゅうを とびまわるのは つかれるね。","Mas confesso que ficar voando pela floresta inteira é bem cansativo.","不过飞过整片森林确实很累。"
"You go on ahead without me. I'll catch up!","Generic Bee","You go on ahead without me. I'll catch up!","Geh du ruhig schon mal vor. Ich komme dann nach!","Passe devant, je te rattraperai plus tard !","Tu vai pure avanti senza di me, ti raggiungo subito!","Zoaz, ez nire zain gelditu. Laster jarraituko dut nik ere!","Ты иди вперед, а я тебя догоню!","きみは気にせず、先にいくといい。あとから おいかけるよ！","Pode ir na frente que eu te alcanço!","你先走吧，我会赶上的！"
"Hullo hullo! You're a weird lookin' bee aintcha?","Generic Bee","Hullo hullo! You're a weird lookin' bee aintcha?","Hey, hallo! Du bist ’ne ziemlich komische Biene, was?","Youhou ! T'as une tête bizarre pour une abeille, dis-moi ?","Ciao! Sai, devo ammettere che sei un'ape proprio strana...","Iepe iepe! Bai erle bitxia zarena!","Привет-привет! Какая-то ты странная пчела.","やあやあ！　きみは かわったハチだね！","Ora, ora! Que abelha mais esquisita essa!","哈啰哈啰！你可真是一只奇怪的蜜蜂呀！"
"Must have pretty good wings to have flown up to this branch though.","Generic Bee","Must have pretty good wings to have flown up to this branch though.","Musst ganz schön gute Flügel haben, dass du es bis zu diesem Ast geschafft hast.","Enfin, tu dois quand même avoir de super bonnes ailes pour avoir réussi à voler jusqu'à cette branche.","Ma se sei riuscita a volare fino a questo ramo, significa che hai delle ali molto forti!","Baina hegal onak izango dituzu, bestela ez zinateke adar honetaraino igotzeko gai izango.","У тебя, должно быть, мощные крылья, раз ты добралась до этой ветки.","この えだまで たどりつけたってことは、いい羽を してるんだろうね！","Deve ter um par de asas bem potentes pra ter conseguido voar até esse galho.","能飞到这么高的树枝上来，你的翅膀肯定很强壮。"
"Let's fly over this gap together! I wanna see your technique!","Generic Bee","Let's fly over this gap together! I wanna see your technique!","Lass uns gemeinsam über diese Kluft fliegen, ich will deine Technik sehen!","Et si on traversait ce gouffre ensemble ? Je veux voir ta technique !","Dai, voliamo insieme dall'altra parte! Voglio vedere la tua tecnica!","Egin dezagun hegan hutsarte hau gainditzeko! Hegan egiteko zure teknika ikusi nahi dut!","Давай вместе перелетим через эту пропасть! Покажи мне, как ты это делаешь!","ここを いっしょに とびこえてみようじゃないか。きみのテクニックを見せてくれよ！","Que tal atravessarmos esse trajeto juntos? Quero ver a sua técnica!","我们一起飞跃这段空隙吧！我想看看你的技术！"
"Well that sure is a weird way to fly!","Generic Bee","Well that sure is a weird way to fly!","Hmm, eine ganz schön komische Art zu fliegen!","Tu as une drôle de façon de voler, toi !","Il tuo modo di volare è proprio strambo!","Alajaina, hori bai dela hegan egiteko era berezia!","Интересный способ летать!","はあー かわった とびかただ！","Nunca vi ninguém voar desse jeito!","这可真是奇怪的飞行方式啊！"
"Can't argue with results though...","Generic Bee","Can't argue with results though...","Aber solange das Ergebnis stimmt, passt alles.","Enfin, c'est le résultat qui compte...","Ma non posso dire che non sia efficace...","Baina argi dago helburua lortzeko balio dizula...","Но к результату у меня претензий нет...","まあ みごとだったけど……","Mas não posso reclamar dos resultados…","结果倒是毋庸置疑……"
"You keep on doing your weird flying, and good luck with the POLLEN QUEST!","Generic Bee","You keep on doing your weird flying, and good luck with the POLLEN QUEST!","Mach ruhig mit deinem komischen Flugstil weiter, und viel Glück bei der POLLEN-AUFGABE!","Je te laisse continuer ton vol bizarroïde, bonne chance avec ta QUÊTE DU POLLEN !","Continua a volare seguendo il tuo cuore e buona fortuna con la RICERCA DEL POLLINE!","Segi aurrera hegakera bitxi horrekin, eta zorte on POLENAREN BILAKETArekin!","Ну ладно, лети дальше. Удачи со СБОРОМ ПЫЛЬЦЫ!","その かわった とびかたで がんばれ。かふんあつめ はかどると いいな！","Continue voando como bem entende, e boa sorte na sua coleta de PÓLEN!","那就继续这样奇怪地飞行吧，花粉任务祝好运！"
"Hmmm...","Generic Bee","Hmmm...","Hmmm …","Hmmm...","Mmmh...","Mmmm...","Хм-м-м...","むー……","Hmmm…","嗯……"
"You seen all these fruit flies buzzing about?","Generic Bee","You seen all these fruit flies buzzing about?","Siehst du die vielen Fruchtfliegen hier herumschwirren?","Tu as vu toutes ces mouches qui bourdonnent dans tous les sens ?","Hai notato anche tu che è pieno di moscerini?","Ikusi dituzu ozpin-euli guzti horiek batetik bestera burrunbaka?","Видала всех этих плодовых мух?","ミバエが ぶんぶん とび回ってるのを見たかい？","Já percebeu como tem moscas de fruta voando por aí?","看到这些嗡嗡乱飞的实蝇了吗？"
"Prrreetty annoying...","Generic Bee","Prrreetty annoying...","Ziiiemlich nervig.","Qu'est-ce qu'elles m'agacent...","Che fastidio...","Amooorrrragarriak dira...","Р-р-раздражают...","か～～～なり うっとうしいよね……","São umas pestes…","太太太烦人了……"
"I bet someone like you could catch 'em in your webs and eat 'em...","Generic Bee","I bet someone like you could catch 'em in your webs and eat 'em...","Jemand wie du könnte die doch sicher in ihrem Netz fangen und fressen.","Mais je suis sûre que tu pourrais les capturer dans tes toiles et les croquer...","Scommetto che con la tua ragnatela potresti catturarli e mangiarli...","Ziur zu moduko batek ez duela arazorik haiek amaraunean harrapatu eta jateko...","Ты ведь паук? А пауки могут их ловить и есть...","きみだったら クモのすで つかまえて、ぺろっと食べちゃえるんだろうな……","Aposto que você pode pegar elas na sua teia e devorá-las…","我敢打赌，你肯定能将它们一网打尽，然后饱餐一顿吧……"
"Just sayin'...","Generic Bee","Just sayin'...","Ich mein ja nur …","Enfin, je dis ça comme ça...","Dico per dire, eh...","Ideia bat baino ez da...","Но это я так, к слову...","いやいや、言ってみただけだから……","Só uma sugestão…","我只是说说……"
"Wouldn't complain...","Generic Bee","Wouldn't complain...","Würde mich nicht beschweren …","C'est pas moi qui irais te dénoncer...","Non che mi dispiacerebbe...","Ez nintzateke kexatuko hala egingo bazenu...","Мне грех жаловаться...","そうしてくれても もんくはないけど……","Se quiser bater um rango…","没什么好抱怨的……"
"Good job dealing with those pests, little spider.","Generic Bee","Good job dealing with those pests, little spider.","Toll, wie du dich um das Ungeziefer gekümmert hast, kleine Spinne.","Merci de nous avoir débarrassées de ces sales bêtes, petite araignée.","Ottimo lavoro con quegli insetti pestiferi, ragnetta.","Lan bikaina egin duzu izurrite horren kontra, armiarmatxo.","Ты отлично справилась с вредителями, паучишка!","がい虫どもを かたづけてくれて ありがとう、小さなクモさん。","Bom trabalho se livrando daquelas pestes, aranhinha!","你处理那些害虫处理得很棒，小蛛儿。"
"Much more peaceful around here now.","Generic Bee","Much more peaceful around here now.","Jetzt ist es hier viel friedlicher.","Enfin un peu de tranquillité.","Ora c'è molta più pace da queste parti.","Orain inguru hau askoz lasaiago dago.","Теперь тут гораздо спокойнее.","おかげで このあたりも だいぶ おちついたよ。","Agora o clima aqui tá bem mais tranquilo.","现在这里安静多了。"
"Oh hey again!","Generic Bee","Oh hey again!","Oh, hallo!","Oh, te revoilà !","Oh, salve di nuovo!","Aupa, kaixo berriro!","О, снова ты!","やあ！　また会ったね！","Opa! Você de novo!","嗨，又见面了！"
"Glad to see you took me up on the POLLEN QUEST!","Generic Bee","Glad to see you took me up on the POLLEN QUEST!","Schön, dass du dich um die POLLEN-AUFGABE kümmerst.","Contente que tu aies décidé de relever le défi de la QUÊTE DU POLLEN !","Mi fa piacere vederti così presa dalla RICERCA DEL POLLINE!","Pozten nau POLENAREN BILAKETAn parte hartzea onartu duzula ikusteak!","Хорошо, что ты поучаствовала в СБОРЕ ПЫЛЬЦЫ!","かふんあつめを ひきうけてくれて うれしいよ。ありがとう！","Que bom aceitou a MISSÃO DO PÓLEN!","很高兴你能带我一起完成花粉任务！"
"Canopy's peak is just a bit further this way.","Generic Bee","Canopy's peak is just a bit further this way.","Das Kronendach liegt ein Stückchen in diese Richtung.","Le Pic de la canopée n'est plus très loin.","Picco frondoso non dista molto da qui.","Zuhaitzetako Gaina gertu dago bide honetatik jarraituz.","Вершина Кроны вон там, чуть дальше.","森のかんむりは、ここから もう少し行ったところだよ。","O Alto das Copas fica um pouco mais adiante nessa direção.","往这边再走一点就是树冠之巅了。"
"I hope you get the 20 we need! The QUEEN is waiting!","Generic Bee","I hope you get the 20 we need! The QUEEN is waiting!","Hoffentlich findest du die 20, die wir brauchen. Die KÖNIGIN wartet!","J'espère tu arriveras à récupérer les 20 grains nécessaires ! La REINE t'attend !","Spero che troverai tutti e 20 i granuli. La REGINA ti aspetta!","Espero dut beharrezko 20 aleak lortuko dituzula! ERREGINA zain duzu!","Надеюсь, ты сможешь достать 20 зерен! КОРОЛЕВА ждет!","20 つぶ あつまると いいね！　女王さまが おまちかねだよ！","Espero que tenha os 20 grãos de que precisamos! A RAINHA está esperando!","希望你已经收集到了我们需要的 20 克花粉！女王蜂正等着呢！"
"Look it's the little spider!","Generic Bee","Look it's the little spider!","Schau an, die kleine Spinne!","Tiens, mais c'est la petite araignée !","Guarda chi c'è: la ragnetta!","Begira, armiarma txikia da!","Смотрите, это паучок!","おお！　うわさの小さなクモだ！","Ora, se não é a aranhinha!","看呀，是那只小蛛儿！"
"I heard you've been helping out with the POLLEN QUEST!","Generic Bee","I heard you've been helping out with the POLLEN QUEST!","Wie ich höre, hilfst du bei der POLLEN-AUFGABE aus.","On m'a dit que tu nous aidais pour la QUÊTE DU POLLEN !","Ho saputo che ci stai aiutando con la RICERCA DEL POLLINE!","Entzun dut POLENAREN BILAKETAn laguntzen aritu zarela!","Говорят, ты помогала СОБИРАТЬ ПЫЛЬЦУ!","かふんあつめを てつだって くれているそうだね。","Ouvi dizer que você está ajudando na MISSÃO DO PÓLEN!","听说你一直在帮我们完成花粉任务！"
"If you've got your 20 grains, go on in.","Generic Bee","If you've got your 20 grains, go on in.","Wenn du unsere 20 Körnchen hast, geh hinein.","Si tu as les 20 grains, tu peux entrer.","Se hai tutti e 20 i granuli, passa pure.","Dagoeneko bildu badituzu 20 aleak, sartu barrura.","Если у тебя есть 20 зерен, то заходи.","20 つぶ そろっているなら、入るといい。","Se tiver os 20 grãos, pode entrar.","如果你已经收集到了 20 克，那就进去吧。"
"The QUEEN awaits!","Generic Bee","The QUEEN awaits!","Die KÖNIGIN wartet!","La REINE t'attend !","La REGINA ti aspetta!","ERREGINA zain duzu!","КОРОЛЕВА ждет!","女王さまが おまちだ！","A RAINHA está esperando!","女王蜂正在等着呢！"
"Welcome to my hive, little spider.","The QUEEN Bee","Welcome to my hive, little spider.","Willkommen in meinem Stock, kleine Spinne.","Bienvenue dans ma ruche, jeune araignée.","Benvenuta nel mio alveare, piccola aracnide.","Ongi etorri nire erlauntzara, armiarmatxo.","Добро пожаловать в мой улей, паучок!","小さなクモよ。わたくしの すへ ようこそ。","Seja bem-vinda à minha colmeia, aranhinha.","欢迎光临我的蜂巢，小蛛儿。"
"I've heard so much about you!","The QUEEN Bee","I've heard so much about you!","Ich habe so viel von dir gehört!","J'ai entendu parler de tes exploits !","Ho sentito molto parlare di te!","Asko hitz egin didate zuri buruz!","Я о тебе наслышана!","あなたの うわさは この耳に とどいておりますとも！","Ouvi muitas coisas sobre você!","我已经听说了很多关于你的故事！"
"Have you brought the pollen for the Princess' royal jelly?","The QUEEN Bee","Have you brought the pollen for the Princess' royal jelly?","Hast du den Pollen für das Gelée royale der Prinzessin?","As-tu amené le pollen pour la gelée royale de la princesse ?","Hai con te il polline per la pappa reale della principessa?","Ekarri al duzu printzesaren erregina-jelearentzako beharrezko polena?","Ты принесла пыльцу для маточного молочка?","王女のロイヤルゼリーに つかう かふんを あつめてくれたのですか？","Você trouxe o pólen para a geleia real da princesa?","你收集到给公主蜂酿造蜂王浆的花粉了吗？"
"Ah... not quite, dear spider.","The QUEEN Bee","Ah... not quite, dear spider.","Ah, nicht ganz, liebe Spinne.","Ah... je crains que ce ne soit pas suffisant, ma petite.","Ah... Ancora non ci siamo, mia cara aracnide.","Ai... ez dago behar beste, armiarmatxo.","О нет, дорогая, этого недостаточно...","ああ……クモよ。これでは たりませんね。","Ó… Ainda não é o bastante, querida aranha.","啊……不太够呀，亲爱的小蛛儿。"
"Don't worry, I'm sure there are more orchids out there.","The QUEEN Bee","Don't worry, I'm sure there are more orchids out there.","Keine Sorge. Ich bin mir sicher, du findest noch mehr Orchideen.","Pas d'inquiétude, je suis sûre que tu trouveras d'autres orchidées dehors.","Non preoccuparti. Ci sono molte orchidee là fuori.","Ez kezkatu, ziur naiz orkidea gehiago daudela kanpoaldean.","Но ничего! Я уверена, что ты сможешь найти еще орхидеи.","かなしまないで。ランの花は まだ たくさん さいているはずです。","Não se preocupe, tenho certeza de que há mais orquídeas por aí.","别担心，附近还有很多兰花。"
"Come back when you've found 20, okay deary?","The QUEEN Bee","Come back when you've found 20, okay deary?","Komm zurück, wenn du 20 gefunden hast, meine Liebe.","Reviens quand tu en auras trouvé 20, d'accord très chère ?","Torna da me quando avrai 20 granuli. D'accordo, cara?","Buelta zaitez 20 ale batzean, ados, laztana?","Возвращайся, когда соберешь 20 зерен, милочка.","20 つぶ そろったら また おいでなさい。よろしいわね？","Volte quando tiver encontrado 20 grãos de pólen, ok?","收集够了 20 克再回来，好吗亲爱的？"
"Oh my! Look at all the pollen you've collected!","The QUEEN Bee","Oh my! Look at all the pollen you've collected!","Oho! Wie viel Pollen du gesammelt hast!","Oh, mais regarde-moi tout ce pollen que tu as récolté !","Cielo! Guarda quanto polline hai raccolto!","Ai ama! Baina zenbat polen bildu duzu!","Вот это да! Вы только посмотрите на всю эту пыльцу!","おやまあ！ なんと たくさん あつめてくれたこと！","UAU! Olha só quanto pólen você coletou!","天呀！看看你收集到的这些花粉！"
"Such a bounty must be properly rewarded.","The QUEEN Bee","Such a bounty must be properly rewarded.","Eine solche Ausbeute muss gebührend belohnt werden.","De tels efforts doivent être dignement récompensés.","Un tale contributo va ricompensato degnamente.","Halako uztak bere neurriko ordainsaria behar du.","Ты заслужила хорошую награду.","これほどの たからには すてきな ほうびを かえさなければ。","Uma coleta tão grande assim merece uma recompensa à altura.","我一定要好好奖励你对我们的支持。"
