"game_lang_code","context","EU"
"The platoon is moving out!","Carl the ant","Pelotoia kanporantz doa!"
"Wow! What a beautiful display!","Carl the ant","Uou! Erakustaldi ederra!"
"Comrade spider, we're making you an honorary member of the engineering corps for your service today!","Carl the ant","Armiarma burkidea, gaurko laguntza eskertzeko ingeniaritza gorputzeko ohorezko kide izendatuko zaitugu!"
"And I've sent a workforce ahead to help out with your mission on the surface.","Carl the ant","Eta lantalde bat eratu dut lurrazaleko zure egitekoan lagun zaitzaten."
"They'll have that balloon up and flying before you know it!","Carl the ant","Konturatu orduko globo hori airean hegan jarriko dute!"
"Dismissed!","Carl the ant","Joan zaitezke!"
"Our workers are waiting for you at Moth's tree.","Carl the ant","Gure langileak Sitsaren zuhaitzean dituzu zain."
"Oi! Watch where you're moving that!","Generic ant","Txo! Kontuz hori nora daramazun!"
"That's still way too hot for me to deliver.","Generic ant","Hori oraindik beroegi dago nik entregatzeko."
"Go quench it in the vat over there.","Generic ant","Sar ezazu horko andel horretan itzal dadin."
"You'll have to go reconnect the water supply so we can get a good quench in here.","Generic ant","Ur-emaria birkonektatu beharko duzu forjatutako piezak itzali ahal izateko."
"G'day, Comrade!","Generic ant","Egun on, burkide!"
"The fuel lines are running dry right now.","Generic ant","Ez dator erregai tantarik hodietatik une honetan."
"You'll have to get the pumps reconnected before we can do any heat treatment.","Generic ant","Ponpak birkonektatu beharko dituzu bero-tratamenduren bat egin aurretik."
"Head over to the pipeworks.","Generic ant","Zoaz hoditeriaren gelara."
"The oven's all heated up for us.","Generic ant","Labea gori-gori dago guretzako prest."
"Can you lend us a web to send these mandibles through the forge?","Generic ant","Utziko diguzu amaraun pixka bat barailak forjatik igarotzeko?"
"Oh, sorry!","Generic ant","O, barkatu!"
"That leg isn't complete yet.","Generic ant","Hanka hori oraindik bukatu gabe dago."
"You'll have to attach the thigh to the shin up there before I can deliver it.","Generic ant","Izterra han goiko bernazakiarekin lotu beharko duzu entregatu ahal izateko."
"Hey fellow engineer!","Vlad the ant","Ei, lagun ingeniaria!"
