"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"<uia> Toggle Sticker","Tutorial Text","<uia> Gaitu eranskailua","<uia> Sticker umschalten","<uia> Modifier l'autocollant","<uia> Attiva/Disattiva adesivo","<uia> Activar pegatina","<uia> Вкл./выкл. стикер","<uia> シールきりかえ","<uia> Alternar adesivo","<uia> 切换贴纸"
"<uia> Select","Tutorial Text","<uia> Hautatu","<uia> Auswählen","<uia> Sélectionner","<uia> Seleziona","<uia> Seleccionar","<uia> Выбрать","<uia> えらぶ","<uia> Selecionar","<uia> 选择"
"<uib> Back","Tutorial Text","<uib> Atzera","<uib> Zurück","<uib> Retour","<uib> Indietro","<uib> Volver","<uib> Назад","<uib> もどる","<uib> Voltar","<uib> 返回"
"<pause> Pause","Tutorial Text","<pause> Pausatu","<pause> Pause","<pause> Pause","<pause> Pausa","<pause> Pausar","<pause> Пауза","<pause> 止める","<pause> Pausar","<pause> 暂停"
"<jump> Fast Forward","Tutorial Text","<jump> Kamera bizkorra","<jump> Vorspulen","<jump> Avancer rapidement","<jump> Avanti veloce","<jump> Acelerar","<jump> Вперед","<jump> 早おくり","<jump> Acelerar","<jump> 快速前进"
"Sorry, this area is still under construction.","Tutorial Text","Sentitzen dugu, gune hau oraindik eraikitze-lanetan dago","Entschuldigung, dieser Bereich ist noch nicht fertig.","Malheureusement, cette zone est encore en construction.","Purtroppo quest'area è ancora in costruzione.","Lo sentimos, esta zona está en construcción.","Извините, в этой зоне еще ведутся работы.","ごめんなさい。このエリアは まだ せいさく中です。","Esta área ainda está em construção.","抱歉，这片区域还在建设中。"
"Please come back later.","Tutorial Text","Itzul zaitez geroago.","Schau später wieder vorbei.","Reviens plus tard.","Torna più tardi.","Vuelve más adelante.","Зайдите попозже.","またこんど 来てみてね。","Volte outra hora.","请稍后再来吧。"
"<move> to move.","Tutorial Text","<move> mugitzeko.","<move> zum Bewegen.","Utilise <move> pour te déplacer.","<move> per muoverti.","<move> para moverte.","Нажмите <move>, чтобы двигаться.","<move> で いどうします。","Use <move> para se mover.","<move> 移动。"
"Hold <dance> to dance.","Tutorial Text","Mantendu <dance> dantzan egiteko.","<dance> halten, um zu tanzen.","Maintiens <dance> pour danser.","Tieni premuto <dance> per ballare.","Mantén <dance> para bailar.","Удерживайте <dance>, чтобы танцевать.","<dance> を長おしするとダンスできます。","Segure <dance> para dançar.","按住 <dance> 跳舞。"
"Hold <jump> to jump.","Tutorial Text","Mantendu <jump> jauzi egiteko.","<jump> halten, um zu springen.","Maintiens <jump> pour sauter.","Tieni premuto <jump> per saltare.","Mantén <jump> para saltar.","Удерживайте <jump>, чтобы прыгнуть.","<jump> を長おしするとジャンプできます。","Segure <jump> para saltar.","按住 <jump> 跳跃。"
"<aim> to aim your web, then hold <grapple> to grapple to a point.","Tutorial Text","<aim> amaraunarekin apuntatzeko, gero mantendu <grapple> puntu batera lotzeko.","<aim>, um mit dem Netz zu zielen, dann <grapple> halten, um es festzukleben.","Utilise <aim> pour viser avec ta toile, puis maintiens <grapple> pour la fixer à un point.","<aim> per mirare e poi tieni premuto <grapple> per aggrappartici.","<aim> para apuntar la red y después mantén <grapple> para agarrarte a un punto.","<aim>, чтобы навести паутину на цель, а затем нажмите <grapple>, чтобы прицепить ее к цели.","<aim> でクモの糸の ねらい（エイム）を つけます。ねらいをつけたら <grapple> を長おしして ねらったところにグラップルしましょう。","Use <aim> para mirar a teia. Segure <grapple> para grudá-la em um ponto.","<aim> 瞄准你的蛛丝，然后按住 <grapple> 抓住一个点。"
"Aim at a point and hold <weave> to to start spinning a web.","Tutorial Text","Apuntatu puntu batera eta mantendu <weave> amarauna iruten hasteko.","Visiere eine Stelle an und halte <weave>, um ein Netz zu weben.","Vise un point et maintiens <weave> pour commencer à tisser une toile.","Mira a un punto e tieni premuto <weave> per iniziare a tessere una ragnatela.","Apunta a un lugar y mantén <weave> para empezar a tejer una red.","Наведите прицел на точку и удерживайте <weave>, чтобы начать плести паутину.","ひとつの ばしょを えらんでエイムして <weave> を長おしすると クモの糸が はれます。","Mire me um ponto e segure <weave> para tecer uma teia.","瞄准一个点后，按住 <weave> 开始织网。"
"Now aim at a second point and release <weave> to build a bridge.","Tutorial Text","Orain apuntatu bigarren puntu batera eta askatu <weave> zubi bat eraikitzeko.","Ziele nun auf eine zweite Stelle und lasse <weave> los, um eine Brücke zu schlagen.","Maintenant, vise un autre point et relâche <weave> pour former un pont.","Ora mira a un secondo punto e rilascia <weave> per costruire un ponte.","Ahora apunta a un segundo lugar y suelta <weave> para construir un puente.","Теперь наведите прицел на вторую точку и отпустите <weave>, чтобы построить соединение.","べつの ばしょにエイムして <weave> をはなすと、糸で はしが作れます。","Agora mire em um segundo ponto e solte <weave> para construir uma ponte.","现在瞄准第二个点，然后松开 <weave> 建一座丝桥。"
"<laser> to shoot lasers.","Tutorial Text","<laser> laser izpiak jaurtitzeko.","<laser>, um mit Lasern zu schießen.","Utilise <laser> pour tirer des lasers.","<laser> per sparare laser.","<laser> para disparar láseres.","Нажмите <laser> для стрельбы лазером.","<laser> でレーザーが うてます。","Use <laser> para disparar lasers.","<laser> 发射激光。"
"Hey little spider! I got a QUEST for ya!","Generic Bee","Ei, armiarmatxo! EGITEKO bat daukat zuretzat!","Hey kleine Spinne! Ich habe eine AUFGABE für dich!","Salut, petite araignée ! J'ai une QUÊTE pour toi !","Ehi, ragnetta! Ho una MISSIONE per te!","¡Oye, arañita! ¡Tengo una MISIÓN para ti!","Привет, паучок! У меня для тебя ЗАДАНИЕ!","やあ 小さなクモさん！　きみにクエストを よういしたよ！","Bzz-iu, aqui, aranhinha! Tenho uma MISSÃO pra você!","嗨，小蛛儿！我有个任务要给你！"
"The QUEEN is making a new PRINCESS to make a brand new hive!","Generic Bee","ERREGINA buru-belarri dabil PRINTZESA berri bat sortu nahian, erlauntza guztiz berri bat eraikitzeko!","Die KÖNIGIN macht eine neue PRINZESSIN für einen brandneuen Stock!","La REINE voudrait donner naissance à une PRINCESSE afin de créer une toute nouvelle ruche !","La REGINA vuole generare una PRINCIPESSA per costruire un nuovo alveare!","¡La REINA va a crear a una nueva PRINCESA para construir otra colmena!","КОРОЛЕВА ПЧЕЛ готовит ПРИНЦЕССУ, которая возглавит новый улей!","女王さまが今、新しい王女さまを そだてておられるんだ。新しい すを 作るためにね！","A RAINHA tá criando uma nova PRINCESA pra iniciar uma colmeia novinha em folha!","女王蜂正在培养一个新的公主蜂，从而建立全新的蜂群！"
"To make a princess she needs royal jelly, and to make the jelly she needs POLLEN!","Generic Bee","Printzesa berri bat sortzeko erregina-jelea behar du, eta jelea sortzeko lore-hautsa, POLENA!","Für eine neue Prinzessin braucht sie Gelée royale, und dafür braucht sie wiederum POLLEN!","Pour cela, il va lui falloir du POLLEN pour fabriquer de la gelée royale !","Per generare una principessa le serve della pappa reale e per fare la pappa reale le serve del POLLINE!","Para crear una princesa, necesita jalea real, y para hacer la jalea, ¡necesita POLEN!","Для того, чтобы подготовить принцессу, ей нужно маточное молочко, а чтобы сделать молочко, нужна ПЫЛЬЦА!","王女さまを そだてるには ロイヤルゼリーが いる。そして ロイヤルゼリーを作るには かふんが いるんだ！","Mas, pra criar a princesa, ela precisa de geleia real, e, pra fazer a geleia real, ela precisa de PÓLEN!","要培养公主蜂就需要蜂王浆，而要酿造蜂王浆就需要花粉！"
"Only the best pollen - PINK ORCHID POLLEN! 20 Grains should do it.","Generic Bee","Goi-mailako polena soilik - ORKIDEA ARROSAREN POLENA! Nahikoa du 20 alerekin.","Nur bester Pollen, von ROSA ORCHIDEEN! 20 Körner sollten reichen.","Et bien entendu, il lui faut le meilleur : du POLLEN D'ORCHIDÉE ROSE ! 20 grains devraient faire l'affaire.","E non del polline qualsiasi: quello di ORCHIDEA ROSA! 20 granuli dovrebbero bastare.","Y solo sirve el mejor polen, ¡POLEN DE ORQUÍDEA ROSA! Con 20 granos bastará.","Но только самая лучшая — ПЫЛЬЦА РОЗОВОЙ ОРХИДЕИ! 20 зерен должно хватить.","それも さいこうきゅうの かふん――ピンクのランの かふんだけさ！　20 つぶあれば たりるかな。","E não é qualquer pólen, não! Precisa ser PÓLEN DE ORQUÍDEA ROSA! Vinte grãos deve bastar.","只能使用最好的花粉——粉色兰花的花粉！20 克应该就够了。"
"If you bring that up to Canopy's Peak, I bet she'd love ya! Come on!","Generic Bee","Ale horiek Zuhaitzetako Gainera eramaten badituzu asko poztuko da! Ekin ba lanari!","Wenn du den zum Kronendach bringst, wäre sie sicher dankbar! Na komm!","Si tu lui amènes ça au Pic de la canopée, elle va t'adorer, pour sûr ! Alors à toi de jouer !","Porta quel polline a Picco frondoso e vedrai che ti adorerà! Coraggio!","¡Si se lo llevas a Cúspide del Dosel, seguro que le encanta! ¡Venga!","Принеси пыльцу на Вершину Кроны, и она в долгу не останется! Пойдем!","森のかんむりに かふんを もってきてくれたら、女王さまも大よろこびの はずさ！　さあ、いそいで！","Se trouxer isso até o Alto das Copas, aposto que ela vai adorar!","如果你能把它们带到树冠之巅，她肯定会很喜欢你的！快去吧！"
"Bring 20 pollen to the QUEEN","Journal quest text","Eraman 20 polen ale ERREGINAri","Bringe der KÖNIGIN 20 Pollen","Amène 20 grains de pollen à la REINE","Porta 20 granuli di polline alla REGINA","Llévale 20 granos de polen a la REINA","Принести КОРОЛЕВЕ ПЧЕЛ 20 зерен пыльцы","女王さまに かふんを 20 つぶ もっていく","Traga 20 grãos de pólen para a RAINHA","给女王蜂带 20 克花粉"
"Oh, G'day there!","Generic Bee","Oi, egun on!","Oh, hallihallo!","Oh, bonjour mademoiselle !","Ehilà, buongiorno!","¡Ah, buenas!","О, привет!","やあ おちびさん！","Dia, dona aranha!","哦，你好呀！"
"Are you on the quest for pollen too?","Generic Bee","Zu ere polena biltzeko lanetan zabiltza?","Bist du auch auf der Suche nach Pollen?","Toi aussi tu fais la quête pour le pollen ?","Sei qui anche tu per cercare polline?","¿Tú también estás buscando polen?","Ты тоже собираешь пыльцу?","きみも かふんあつめかい？","Está em busca de pólen também?","你也在执行花粉任务吗？"
"I hope we get enough. I can't wait to meet the new PRINCESS!","Generic Bee","Ea behar beste biltzen dugun. PRINTZESA berria ezagutzeko irrikitan nago!","Hoffentlich finden wir genug. Ich bin sehr gespannt auf die neue PRINZESSIN!","J'espère qu'on en aura assez. J'ai hâte de voir la nouvelle PRINCESSE !","Spero che ne troveremo abbastanza. Non vedo l'ora di conoscere la nuova PRINCIPESSA!","Espero que consigamos suficiente. ¡Tengo ganas de conocer a la nueva PRINCESA!","Надеюсь, нам хватит. Так хочется поскорее увидеть новую ПРИНЦЕССУ!","じゅうぶん あつまると いいが。新しい王女さまに会うのが まちきれないよ！","Espero que tenha o suficiente. Estou ansioso pra conhecer a nova PRINCESA!","希望我们能收集到足够的花粉。我已经等不及想见到新的公主蜂了！"
"Sure is tiring flying all over this forest though.","Generic Bee","Baina ez da lan erraza baso osoa hegan zeharkatzea.","Es ist echt anstrengend, diesen großen Wald im Flug abzusuchen.","Mais c'est vraiment fatigant de devoir voltiger à travers toute cette forêt.","Certo che è stancante svolazzare in giro per la foresta...","Aunque la verdad es que cansa bastante volar por este bosque.","Но летать по всему лесу ужасно утомительно.","しかし この森じゅうを とびまわるのは つかれるね。","Mas confesso que ficar voando pela floresta inteira é bem cansativo.","不过飞过整片森林确实很累。"
"You go on ahead without me. I'll catch up!","Generic Bee","Zoaz, ez nire zain gelditu. Laster jarraituko dut nik ere!","Geh du ruhig schon mal vor. Ich komme dann nach!","Passe devant, je te rattraperai plus tard !","Tu vai pure avanti senza di me, ti raggiungo subito!","Adelántate tú, ¡ya te pillaré!","Ты иди вперед, а я тебя догоню!","きみは気にせず、先にいくといい。あとから おいかけるよ！","Pode ir na frente que eu te alcanço!","你先走吧，我会赶上的！"
"Hullo hullo! You're a weird lookin' bee aintcha?","Generic Bee","Iepe iepe! Bai erle bitxia zarena!","Hey, hallo! Du bist ’ne ziemlich komische Biene, was?","Youhou ! T'as une tête bizarre pour une abeille, dis-moi ?","Ciao! Sai, devo ammettere che sei un'ape proprio strana...","¡Hola, holita! Eres una abeja un poco rara, ¿no?","Привет-привет! Какая-то ты странная пчела.","やあやあ！　きみは かわったハチだね！","Ora, ora! Que abelha mais esquisita essa!","哈啰哈啰！你可真是一只奇怪的蜜蜂呀！"
"Must have pretty good wings to have flown up to this branch though.","Generic Bee","Baina hegal onak izango dituzu, bestela ez zinateke adar honetaraino igotzeko gai izango.","Musst ganz schön gute Flügel haben, dass du es bis zu diesem Ast geschafft hast.","Enfin, tu dois quand même avoir de super bonnes ailes pour avoir réussi à voler jusqu'à cette branche.","Ma se sei riuscita a volare fino a questo ramo, significa che hai delle ali molto forti!","Aunque debes de tener buenas alas para haber volado hasta esta rama.","У тебя, должно быть, мощные крылья, раз ты добралась до этой ветки.","この えだまで たどりつけたってことは、いい羽を してるんだろうね！","Deve ter um par de asas bem potentes pra ter conseguido voar até esse galho.","能飞到这么高的树枝上来，你的翅膀肯定很强壮。"
"Let's fly over this gap together! I wanna see your technique!","Generic Bee","Egin dezagun hegan hutsarte hau gainditzeko! Hegan egiteko zure teknika ikusi nahi dut!","Lass uns gemeinsam über diese Kluft fliegen, ich will deine Technik sehen!","Et si on traversait ce gouffre ensemble ? Je veux voir ta technique !","Dai, voliamo insieme dall'altra parte! Voglio vedere la tua tecnica!","¡Vamos a volar por encima de este agujero! ¡Quiero ver tu técnica!","Давай вместе перелетим через эту пропасть! Покажи мне, как ты это делаешь!","ここを いっしょに とびこえてみようじゃないか。きみのテクニックを見せてくれよ！","Que tal atravessarmos esse trajeto juntos? Quero ver a sua técnica!","我们一起飞跃这段空隙吧！我想看看你的技术！"
"Well that sure is a weird way to fly!","Generic Bee","Alajaina, hori bai dela hegan egiteko era berezia!","Hmm, eine ganz schön komische Art zu fliegen!","Tu as une drôle de façon de voler, toi !","Il tuo modo di volare è proprio strambo!","Vaya, ¡qué forma más rara de volar!","Интересный способ летать!","はあー かわった とびかただ！","Nunca vi ninguém voar desse jeito!","这可真是奇怪的飞行方式啊！"
"Can't argue with results though...","Generic Bee","Baina argi dago helburua lortzeko balio dizula...","Aber solange das Ergebnis stimmt, passt alles.","Enfin, c'est le résultat qui compte...","Ma non posso dire che non sia efficace...","Aunque los resultados son innegables...","Но к результату у меня претензий нет...","まあ みごとだったけど……","Mas não posso reclamar dos resultados…","结果倒是毋庸置疑……"
"You keep on doing your weird flying, and good luck with the POLLEN QUEST!","Generic Bee","Segi aurrera hegakera bitxi horrekin, eta zorte on POLENAREN BILAKETArekin!","Mach ruhig mit deinem komischen Flugstil weiter, und viel Glück bei der POLLEN-AUFGABE!","Je te laisse continuer ton vol bizarroïde, bonne chance avec ta QUÊTE DU POLLEN !","Continua a volare seguendo il tuo cuore e buona fortuna con la RICERCA DEL POLLINE!","Tú sigue volando así de raro y ¡buena suerte con la MISIÓN DEL POLEN!","Ну ладно, лети дальше. Удачи со СБОРОМ ПЫЛЬЦЫ!","その かわった とびかたで がんばれ。かふんあつめ はかどると いいな！","Continue voando como bem entende, e boa sorte na sua coleta de PÓLEN!","那就继续这样奇怪地飞行吧，花粉任务祝好运！"
"Hmmm...","Generic Bee","Mmmm...","Hmmm …","Hmmm...","Mmmh...","Mmm...","Хм-м-м...","むー……","Hmmm…","嗯……"
"You seen all these fruit flies buzzing about?","Generic Bee","Ikusi dituzu ozpin-euli guzti horiek batetik bestera burrunbaka?","Siehst du die vielen Fruchtfliegen hier herumschwirren?","Tu as vu toutes ces mouches qui bourdonnent dans tous les sens ?","Hai notato anche tu che è pieno di moscerini?","¿Has visto todas estas moscas de la fruta revoloteando?","Видала всех этих плодовых мух?","ミバエが ぶんぶん とび回ってるのを見たかい？","Já percebeu como tem moscas de fruta voando por aí?","看到这些嗡嗡乱飞的实蝇了吗？"
"Prrreetty annoying...","Generic Bee","Amooorrrragarriak dira...","Ziiiemlich nervig.","Qu'est-ce qu'elles m'agacent...","Che fastidio...","Vaaaya incordio...","Р-р-раздражают...","か～～～なり うっとうしいよね……","São umas pestes…","太太太烦人了……"
"I bet someone like you could catch 'em in your webs and eat 'em...","Generic Bee","Ziur zu moduko batek ez duela arazorik haiek amaraunean harrapatu eta jateko...","Jemand wie du könnte die doch sicher in ihrem Netz fangen und fressen.","Mais je suis sûre que tu pourrais les capturer dans tes toiles et les croquer...","Scommetto che con la tua ragnatela potresti catturarli e mangiarli...","Seguro que alguien como tú podría atraparlas en su telaraña y comérselas...","Ты ведь паук? А пауки могут их ловить и есть...","きみだったら クモのすで つかまえて、ぺろっと食べちゃえるんだろうな……","Aposto que você pode pegar elas na sua teia e devorá-las…","我敢打赌，你肯定能将它们一网打尽，然后饱餐一顿吧……"
"Just sayin'...","Generic Bee","Ideia bat baino ez da...","Ich mein ja nur …","Enfin, je dis ça comme ça...","Dico per dire, eh...","Solo es una idea...","Но это я так, к слову...","いやいや、言ってみただけだから……","Só uma sugestão…","我只是说说……"
"Wouldn't complain...","Generic Bee","Ez nintzateke kexatuko hala egingo bazenu...","Würde mich nicht beschweren …","C'est pas moi qui irais te dénoncer...","Non che mi dispiacerebbe...","Pero yo no me quejaría...","Мне грех жаловаться...","そうしてくれても もんくはないけど……","Se quiser bater um rango…","没什么好抱怨的……"
"Good job dealing with those pests, little spider.","Generic Bee","Lan bikaina egin duzu izurrite horren kontra, armiarmatxo.","Toll, wie du dich um das Ungeziefer gekümmert hast, kleine Spinne.","Merci de nous avoir débarrassées de ces sales bêtes, petite araignée.","Ottimo lavoro con quegli insetti pestiferi, ragnetta.","Buen trabajo con esa plaga, arañita.","Ты отлично справилась с вредителями, паучишка!","がい虫どもを かたづけてくれて ありがとう、小さなクモさん。","Bom trabalho se livrando daquelas pestes, aranhinha!","你处理那些害虫处理得很棒，小蛛儿。"
"Much more peaceful around here now.","Generic Bee","Orain inguru hau askoz lasaiago dago.","Jetzt ist es hier viel friedlicher.","Enfin un peu de tranquillité.","Ora c'è molta più pace da queste parti.","Este sitio ya está mucho más tranquilo.","Теперь тут гораздо спокойнее.","おかげで このあたりも だいぶ おちついたよ。","Agora o clima aqui tá bem mais tranquilo.","现在这里安静多了。"
"Oh hey again!","Generic Bee","Aupa, kaixo berriro!","Oh, hallo!","Oh, te revoilà !","Oh, salve di nuovo!","Ah, ¡hola de nuevo!","О, снова ты!","やあ！　また会ったね！","Opa! Você de novo!","嗨，又见面了！"
"Glad to see you took me up on the POLLEN QUEST!","Generic Bee","Pozten nau POLENAREN BILAKETAn parte hartzea onartu duzula ikusteak!","Schön, dass du dich um die POLLEN-AUFGABE kümmerst.","Contente que tu aies décidé de relever le défi de la QUÊTE DU POLLEN !","Mi fa piacere vederti così presa dalla RICERCA DEL POLLINE!","¡Me alegra ver que has aceptado la MISIÓN DEL POLEN!","Хорошо, что ты поучаствовала в СБОРЕ ПЫЛЬЦЫ!","かふんあつめを ひきうけてくれて うれしいよ。ありがとう！","Que bom aceitou a MISSÃO DO PÓLEN!","很高兴你能带我一起完成花粉任务！"
"Canopy's peak is just a bit further this way.","Generic Bee","Zuhaitzetako Gaina gertu dago bide honetatik jarraituz.","Das Kronendach liegt ein Stückchen in diese Richtung.","Le Pic de la canopée n'est plus très loin.","Picco frondoso non dista molto da qui.","Cúspide del Dosel está siguiendo esta dirección.","Вершина Кроны вон там, чуть дальше.","森のかんむりは、ここから もう少し行ったところだよ。","O Alto das Copas fica um pouco mais adiante nessa direção.","往这边再走一点就是树冠之巅了。"
"I hope you get the 20 we need! The QUEEN is waiting!","Generic Bee","Espero dut beharrezko 20 aleak lortuko dituzula! ERREGINA zain duzu!","Hoffentlich findest du die 20, die wir brauchen. Die KÖNIGIN wartet!","J'espère tu arriveras à récupérer les 20 grains nécessaires ! La REINE t'attend !","Spero che troverai tutti e 20 i granuli. La REGINA ti aspetta!","¡Espero que consigas los 20 granos que necesitamos! ¡La REINA aguarda!","Надеюсь, ты сможешь достать 20 зерен! КОРОЛЕВА ждет!","20 つぶ あつまると いいね！　女王さまが おまちかねだよ！","Espero que tenha os 20 grãos de que precisamos! A RAINHA está esperando!","希望你已经收集到了我们需要的 20 克花粉！女王蜂正等着呢！"
"Look it's the little spider!","Generic Bee","Begira, armiarma txikia da!","Schau an, die kleine Spinne!","Tiens, mais c'est la petite araignée !","Guarda chi c'è: la ragnetta!","¡Mira, es la arañita!","Смотрите, это паучок!","おお！　うわさの小さなクモだ！","Ora, se não é a aranhinha!","看呀，是那只小蛛儿！"
"I heard you've been helping out with the POLLEN QUEST!","Generic Bee","Entzun dut POLENAREN BILAKETAn laguntzen aritu zarela!","Wie ich höre, hilfst du bei der POLLEN-AUFGABE aus.","On m'a dit que tu nous aidais pour la QUÊTE DU POLLEN !","Ho saputo che ci stai aiutando con la RICERCA DEL POLLINE!","¡Me han dicho que has estado ayudando con la MISIÓN DEL POLEN!","Говорят, ты помогала СОБИРАТЬ ПЫЛЬЦУ!","かふんあつめを てつだって くれているそうだね。","Ouvi dizer que você está ajudando na MISSÃO DO PÓLEN!","听说你一直在帮我们完成花粉任务！"
"If you've got your 20 grains, go on in.","Generic Bee","Dagoeneko bildu badituzu 20 aleak, sartu barrura.","Wenn du unsere 20 Körnchen hast, geh hinein.","Si tu as les 20 grains, tu peux entrer.","Se hai tutti e 20 i granuli, passa pure.","Si tienes los 20 granos, adelante.","Если у тебя есть 20 зерен, то заходи.","20 つぶ そろっているなら、入るといい。","Se tiver os 20 grãos, pode entrar.","如果你已经收集到了 20 克，那就进去吧。"
"The QUEEN awaits!","Generic Bee","ERREGINA zain duzu!","Die KÖNIGIN wartet!","La REINE t'attend !","La REGINA ti aspetta!","¡La REINA aguarda!","КОРОЛЕВА ждет!","女王さまが おまちだ！","A RAINHA está esperando!","女王蜂正在等着呢！"
"Welcome to my hive, little spider.","The QUEEN Bee","Ongi etorri nire erlauntzara, armiarmatxo.","Willkommen in meinem Stock, kleine Spinne.","Bienvenue dans ma ruche, jeune araignée.","Benvenuta nel mio alveare, piccola aracnide.","Bienvenida a mi colmena, arañita.","Добро пожаловать в мой улей, паучок!","小さなクモよ。わたくしの すへ ようこそ。","Seja bem-vinda à minha colmeia, aranhinha.","欢迎光临我的蜂巢，小蛛儿。"
"I've heard so much about you!","The QUEEN Bee","Asko hitz egin didate zuri buruz!","Ich habe so viel von dir gehört!","J'ai entendu parler de tes exploits !","Ho sentito molto parlare di te!","¡He oído hablar mucho sobre ti!","Я о тебе наслышана!","あなたの うわさは この耳に とどいておりますとも！","Ouvi muitas coisas sobre você!","我已经听说了很多关于你的故事！"
"Have you brought the pollen for the Princess' royal jelly?","The QUEEN Bee","Ekarri al duzu printzesaren erregina-jelearentzako beharrezko polena?","Hast du den Pollen für das Gelée royale der Prinzessin?","As-tu amené le pollen pour la gelée royale de la princesse ?","Hai con te il polline per la pappa reale della principessa?","¿Has traído el polen para la jalea real de la princesa?","Ты принесла пыльцу для маточного молочка?","王女のロイヤルゼリーに つかう かふんを あつめてくれたのですか？","Você trouxe o pólen para a geleia real da princesa?","你收集到给公主蜂酿造蜂王浆的花粉了吗？"
"Ah... not quite, dear spider.","The QUEEN Bee","Ai... ez dago behar beste, armiarmatxo.","Ah, nicht ganz, liebe Spinne.","Ah... je crains que ce ne soit pas suffisant, ma petite.","Ah... Ancora non ci siamo, mia cara aracnide.","Ah..., no es suficiente, querida araña.","О нет, дорогая, этого недостаточно...","ああ……クモよ。これでは たりませんね。","Ó… Ainda não é o bastante, querida aranha.","啊……不太够呀，亲爱的小蛛儿。"
"Don't worry, I'm sure there are more orchids out there.","The QUEEN Bee","Ez kezkatu, ziur naiz orkidea gehiago daudela kanpoaldean.","Keine Sorge. Ich bin mir sicher, du findest noch mehr Orchideen.","Pas d'inquiétude, je suis sûre que tu trouveras d'autres orchidées dehors.","Non preoccuparti. Ci sono molte orchidee là fuori.","No te preocupes, estoy segura de que hay más orquídeas.","Но ничего! Я уверена, что ты сможешь найти еще орхидеи.","かなしまないで。ランの花は まだ たくさん さいているはずです。","Não se preocupe, tenho certeza de que há mais orquídeas por aí.","别担心，附近还有很多兰花。"
"Come back when you've found 20, okay deary?","The QUEEN Bee","Buelta zaitez 20 ale batzean, ados, laztana?","Komm zurück, wenn du 20 gefunden hast, meine Liebe.","Reviens quand tu en auras trouvé 20, d'accord très chère ?","Torna da me quando avrai 20 granuli. D'accordo, cara?","Vuelve cuando hayas encontrado 20 granos, ¿de acuerdo?","Возвращайся, когда соберешь 20 зерен, милочка.","20 つぶ そろったら また おいでなさい。よろしいわね？","Volte quando tiver encontrado 20 grãos de pólen, ok?","收集够了 20 克再回来，好吗亲爱的？"
