"ID","English","English Asia","French","German","Spanish","Portuguese","Russian","Japanese","Korean","Chinese (traditional)","Chinese (simplified)",@
"bard_bar_intro_re","I'll tell you this,[beat] if you do so happen to break through these rocks, I would write a <i>magnificent</i> ballad of your deed!","I'll tell you this,[beat] if you do so happen to break through these rocks, I would write a <i>magnificent</i> ballad of your deed!","Je vais te dire,[beat] si tu réussis à virer ces rochers, j'écrirai une ballade <i>géniale</i> qui racontera tes exploits !","Eins sage ich dir.[beat] Falls es dir gelingt, die Felsen da wegzuschaffen, würde ich über deine Taten eine <i>echt wunderbare</i> Ballade dichten!","Hona zer diotsudan,[beat] harri horietan zehar bidea egitea lortzen baduzu, balada <i>zoragarri</i> bat idatziko dut zure balentria kontatuz!","Vamos fazer o seguinte:[beat] se você conseguir quebrar essas pedras, vou escrever uma balada <i>magnífica</i> sobre seu feito!","А знаешь что?[beat] Если ты проложишь дорогу через эти камни, я сложу <i>умопомрачительную</i> песню о твоем подвиге!","ねえ、[beat]もしあなたがあの岩を壊してくれるなら、あなたのために<i>最高の</i>歌を書いちゃう！","약속하죠.[beat] 이 바윗더미를 부숴준다면, 제가 당신의 업적을 기려 <i>멋진</i> 노래를 한 곡 써줄 거예요!","我告訴妳，[beat] 如果你碰巧打穿了這些石頭，我會寫出一首 <i>壯麗的</i> 民謠來歌詠你的功勳！","跟你说，[beat]要是你恰好能突破这些岩石路障，我就把你的壮举写成一曲<i>宏大</i>的歌谣！",@
"bard_bar_breakrock","Look at that, mate!
You smashed it!
You're a legend!
You might even be the inspiration for my next big tune!
Yeah... [beat]If it's all the same to you, I might just tag along on your adventure...
See you around!","Look at that, mate!
You smashed it!
You're a legend!
You might even be the inspiration for my next big tune!
Yeah... [beat]If it's all the same to you, I might just tag along on your adventure...
See you around!","Tu es trop fort, toi !
Tu as tout dégommé !
Tu assures comme une bête !
C'est peut-être toi qui m'inspireras mon prochain tube !
Ouais... [beat]Si ça te fait trop rien, je vais peut-être m'incruster dans ton aventure...
À la revoyure, Corbac !","Haste Töne!
Das hat voll reingehauen!
Du hast es so was von drauf!
Vielleicht bist du ja die Inspiration für meine nächste große Nummer!
Oh ja. [beat]Wenn‘s dir nichts ausmacht, würde ich gerne mitkommen auf dein Abenteuer.
Bis denne!","Alazankoa!
Birrindu egin duzu!
Mundiala zara!
Beharbada nire hurrengo abestirako inspirazioa izango zara!
Hori da... [beat]Zuri berdin bazaizu behintzat, zure abenturan gertutik jarraituko zaitut...
Gero arte!","Olha só isso, cara!
Você botou para quebrar!
Você é uma lenda!
Você pode até ser a inspiração para meu próximo sucesso!
É... [beat]Se não se importar, eu posso acompanhar você na sua aventura...
A gente se vê!","Вот это да!
У тебя получилось!
Невероятно круто!
Возможно, ты сможешь вдохновить меня на мой будущий хит!
Слушай... [beat]Если ты не против, я могла бы составить тебе компанию в путешествии...
До скорого!","すごい！
壊れた！
サイコー！
あなたを題材にすれば、傑作をものにできるかも！
そうね… [beat]もしよかったら、わたしも冒険についていっていいかな…
またあとでね！","와, 친구!
날려버렸군요!
정말 대단해요!
제 다음 노래에 대해 영감을 줄 정도예요!
음... [beat]괜찮다면, 그냥 당신의 모험을 따라다니는 것도 좋겠어요...
또 봐요!","看看那個，老兄！
你打碎它了！
你是傳奇！
你甚至可能是我下一首大調的靈感來源！
是呀... [beat]如果你一直都這樣表現，我應該會緊跟你的冒險行動...
再見呀！","看见没有，朋友！
你把它砸了个稀巴烂！
你真了不得！
说不定我下一曲大作的灵感，就从你这儿来了！
对哦……[beat]如果这些对你是小菜一碟，那我跟着你一起去冒险不就好了……
回头见啦！",@
"bard_bar_breakrock_re","If it's all the same to you, I might just tag along on your adventure...
See you around!","If it's all the same to you, I might just tag along on your adventure...
See you around!","Si ça ne te dérange pas, je vais peut-être m'incruster dans ton aventure...
À la revoyure, Corbac !","Wenn‘s dir nichts ausmacht, würde ich gerne mitkommen auf dein Abenteuer.
Bis denne!","Zuri berdin bazaizu behintzat, zure abenturan gertutik jarraituko zaitut...
Gero arte!","Se não se importar, eu posso acompanhar você na sua aventura...
A gente se vê!","Если ты не против, я могла бы составить тебе компанию в путешествии...
До скорого!","もしよかったら、わたしも冒険についていっていいかな…
またあとでね！","괜찮다면, 그냥 당신의 모험을 따라다니는 것도 좋겠어요...
또 봐요!","如果你一直都這樣表現，我應該會緊跟你的冒險行動...
再見呀！","如果这些对你是小菜一碟，那我跟着你一起去冒险不就好了……
回头见啦！",@
"bard_fortress","Hey again, pal![beat] I hope you don't mind me tagging along!
Seems like we'll need to find a way through this old fortress if we want to get up that mountain...
Well, I say ""we"".[pause] I mean you.[pause] 
I'll just hang around here and work on the lyrics for my next banging tune...
Let me know if you find a way up!","Hey again, pal![beat] I hope you don't mind me tagging along!
Seems like we'll need to find a way through this old fortress if we want to get up that mountain...
Well, I say ""we"".[pause] I mean you.[pause] 
I'll just hang around here and work on the lyrics for my next banging tune...
Let me know if you find a way up!","Comme on se retrouve, Corbac ![beat] J'espère que tu ne m'en veux pas si je m'incruste !
Il faut qu'on trouve un moyen de traverser cette ancienne forteresse si on veut escalader cette montagne...
Enfin, quand je dis ""nous"",[pause] je veux parler de toi.[pause]
Je vais rester ici pour bosser sur les paroles de mon prochain tube...
Préviens-moi si tu trouves un chemin !","Da bist du ja, Kumpel![beat] Du hast doch nichts dagegen, wenn ich mitkomme?
Wir müssen anscheinend erst durch diese alte Festung spazieren, wenn wir auf den Berg wollen.
Na ja, und wenn ich „wir“ sage,[pause] meine ich eher dich.[pause] 
Ich hänge einfach hier ab und schraube am Text für meinen nächsten Ohrwurm.
Sag Bescheid, wenn du einen Weg nach oben findest!","Kaixo berriro, adiskide![beat] Espero dut ez zaizula axolako ni zure abenturara batzea!
Badirudi gotorleku zahar hau zeharkatzeko moduren bat aurkitu beharko dugula hango mendi hartara igo nahi badugu...
Tira, “dugu” esan dut.[pause] Baina “duzu” esan nahi nuen.[pause]
Nik hemen itxarongo zaitut, nire hurrengo kanta arrakastatsua konposatu behar dut...
Esadazu igotzeko biderik aurkitzen baduzu!","Olá de novo, amigo![beat] Espero que não se importe se eu acompanhar você!
Parece que vamos ter que encontrar um jeito de passar por essa velha fortaleza para chegarmos naquela montanha...
Bem, quando digo ""nós""...[pause] quero dizer você.[pause]
Vou ficar por aqui e pensar em uma letra legal para minha próxima música...
Me avise se encontrar um jeito de subir!","Привет еще раз![beat] Надеюсь, ты не против моей компании?
Похоже, чтобы попасть на вершину горы, нам придется пройти через старую крепость...
Я сказала «нам»?[pause] Я имела в виду «тебе».[pause] 
Я останусь здесь и поразмышляю над текстом моего будущего хита...
Дай знать, если найдешь путь наверх!","やっほー、また会ったね。[beat]ついてきちゃったけど、いいよね？
山頂に行きたいなら、わたしたちはこの古い森を抜けないといけないみたい…
あ、“わたしたちは”って言ったけど… [pause]“あなたは”って意味だからね。[pause] 
わたしはこのへんで、次なる傑作の歌詞を考えてるから。
山頂に通じる道が見つかったら教えて！","또 보네요, 친구![beat] 내가 따라다니는 게 신경 안 쓰이길 바라요!
우리가 저 산으로 올라가려면 이 낡은 요새를 통해 갈 수 있는 길을 찾아야 하는 거 같네요...
제가 ""우리""라고 해버렸네요.[pause] 당신이 찾아야죠.[pause] 
전 여기 주변을 돌아다니며 다음 노래의 가사를 연구해봐야겠어요...
길 찾으면 알려줘요!","又見面了，伙伴！[beat] 希望你別在意我跟緊緊！
看來如果我們想爬上那座山，就得想辦法穿過這座舊堡壘...
嗯，我說""我們""。[pause] 意思就是你。[pause] 
我會在這附近逛逛並為我的下首打擊樂旋律創作歌詞...
如果你找到往上的路記得告訴我！","又见面啦，兄弟！[beat]希望你别介意我跟着你！
看来咱们要是想上山，就得找条路穿过这座古老要塞……
呃，我说的是“咱们”，[pause]其实指的是你。[pause]
我就在这儿逛逛，接着给我下一首劲曲配词去了……
等你找到上山的路了，就跟我说一声！",@
"bard_fortress_re1","<size=20>Hunting souls for breakfast lunch and... No...</size>","<size=20>Hunting souls for breakfast lunch and... No...</size>","<size=20>""Il récolte des âmes, pour le bonheur des dames""... Pas top, ça...</size>","<size=20>Seelen jagen zum Frühstück und Mitta g... nein.</size>","<size=20>Ehizan dirau, goiz, arratsa eta... Ez...</size>","<size=20>Caçar almas para o café, almoço e... não...</size>","<size=20>Пожинает души на завтрак и ужин... Нет...</size>","<size=20>ブランチ用にソウルを刈り… こんなんじゃ駄目ね…</size>","<size=20>아침 점심 저녁을 찾아다니며 영혼을 사냥한다... 아냐...</size>","<size=20>為了溫飽狩獵靈魂且... 不...</size>","<size=20>猎取灵魂当早中晚……不行……</size>",@
"bard_fortress_re2","<size=20>A creature who knew ten-thousand things...</size>
<size=20>All eyes and tentacles and sometimes wings... Nah...</size>","<size=20>A creature who knew ten-thousand things...</size>
<size=20>All eyes and tentacles and sometimes wings... Nah...</size>","<size=20>""Une créature qui savait mille et une choses""...</size>
<size=20>""Des yeux, des tentacules et parfois des mycoses""... Ouais, non...</size>","<size=20>Ein Wesen, dem zehntausend Dinge bekannt ...</size>
<size=20>Tentakel und Augen und manchmal auch Flügel ... nö.</size>","<size=20>Jakinduria handiko izaki bat dago...</size>
<size=20>Baditu mila begi, garro eta hego... Ezta ere...</size>","<size=20>Uma criatura que dez mil coisas sabia...</size>
<size=20>Era toda de olhos, tentáculos e até asas tinha... não...</size>","<size=20>Тот, кто смерти преданно служит...</size>
<size=20>Все щупальца, глаза и крылья... Не то...</size>","<size=20>1万もの知識を備えた生き物が…</size>
<size=20>眼と触手と、ときどき翼… うーん、ピンとこない…</size>","<size=20>모든 걸 알고 있는 생물은...</size>
<size=20>눈과 촉수, 날개도 있었네... 이건 아냐...</size>","<size=20>有隻生物懂得上萬件事...</size>
<size=20>所有的眼睛與觸手，有時候還有翅膀... 不...</size>","<size=20>这生物知晓千般事……</size>
<size=20>有眼睛、有触须，甚至还有翅……呃……</size>",@
"bard_fortress_re3","<size=20>Titans lurking in the dark and cold...</size>
<size=20>The reaper strikes for glory![beat] Not...[beat] mould...? [beat]Old...? [beat]Gold! [beat]Hmm...</size>","<size=20>Titans lurking in the dark and cold...</size>
<size=20>The reaper strikes for glory![beat] Not...[beat] mould...? [beat]Old...? [beat]Gold! [beat]Hmm...</size>","<size=20>""Les titans guettent dans l'obscurité glaciale""...</size>
<size=20>""Le Faucheur réussit un coup fortiche !""[beat] Non...[beat] ""Génial""... ? [beat]""Royal""...? [beat]""Fatal"" ! [beat]Hmm...</size>","<size=20>Es lauern Titanen in finsterer Kälte ...</size>
<size=20>Der Schnitter erntet Ehre[beat] und nicht ...[beat] Schinken? [beat]Zinken? [beat]Finken? [beat]Hmm ...</size>","<size=20>Titanak zelatan, iluntasun eta hotzetan...</size>
<size=20>Segariak, baina, ezpata dauka prest![beat] Ez...[beat] eskuetan...? [beat]Garretan...? [beat]Odoletan! [beat]Hmmm....</size>","<size=20>Titãs espreitando na escuridão e no frio...</size>
<size=20>O ceifador dá um golpe com glória![beat] Não...[beat] Arrepio...? [beat]Calafrio...? [beat]No vazio! [beat]Hmm...</size>","<size=20>Титаны бродят средь тьмы и смрада...</size>
<size=20>Жнец жаждет славы![beat] Нет...[beat] тирады?.. [beat]ограды?.. [beat]Награды! [beat]Хм-м-м...</size>","<size=20>巨人が徘徊する、そこは冷たく暗い…</size>
<size=20>リーパーの栄光の一撃！[beat] 駄目か。[beat] 食らい…？ [beat]つらい…？ [beat]うまい！ [beat]うーん…</size>","<size=20>거인은 어둠과 냉기 속에 숨어있고...</size>
<size=20>사신은 명예를 좇는다네![beat] 구리도...[beat] 아닌...? [beat]은이라고 해야 할까...? [beat]황금이라고 하자! [beat]흠...</size>","<size=20>泰坦潛伏在黑暗與寒冷中...</size>
<size=20>收魂者為榮耀而戰！[beat] 不...[beat] 莫...？ [beat]某...？ [beat]夢！ [beat]嗯嗯...</size>","<size=20>巨人蛰伏于阴暗幽冷处……</size>
<size=20>收割者出手夺取荣耀！[beat]不对……[beat]大树……？[beat]甘露……？[beat]金库！[beat]嗯……</size>",@
"bard_fortress_re","I'm gonna stay here and work on the lyrics for my next banger...
Let me know if you find a way up!","I'm gonna stay here and work on the lyrics for my next banger...
Let me know if you find a way up!","Je crois que je vais rester ici pour bosser sur les paroles de mon prochain tube...
Préviens-moi si tu trouves un chemin !","Ich bleibe hier und schraube am Text für meinen nächsten Ohrwurm.
Sag Bescheid, wenn du einen Weg nach oben findest!","Nire hurrengo arrakasta sortzen geldituko naiz hemen...
Esadazu igotzeko biderik aurkitzen baduzu!","Vou ficar por aqui e pensar em uma letra legal para minha próxima música...
Me avise se encontrar um jeito de subir!","Я подожду здесь и подумаю над текстом моего будущего хита...
Дай знать, если найдешь путь наверх!","わたしはこのへんで、次なる傑作の歌詞を考えてるから。
山頂に通じる道が見つかったら教えて！","전 여기 머물러서 다음 노래의 가사를 연구해봐야겠어요...
길 찾으면 알려줘요!","我會在這附近逛逛並為我的下首打擊樂旋律創作歌詞...
如果你找到往上的路記得告訴我！","我还是待在这儿给我下一首金曲配词吧……
等你找到上山的路了，就跟我说一声！",@
"bard_fortress_hookshot","Hey now, [beat]that shiny new Hookshot thing of yours looks pretty neat!","Hey now, [beat]that shiny new Hookshot thing of yours looks pretty neat!","Dis donc Corbac, [beat]ton grappin flambant neuf a l'air carrément formidable !","He, [beat]dein nagelneues Hakenschießer-Dingens sieht verdammt cool aus!","Ei, aizu, [beat]zure kako-tximista berri horrek kriston itxura dauka! ","Ora, ora, [beat]esse seu Arpéu aí parece bem maneiro!","Вот это да, [beat]какой классный крюк у тебя теперь есть!","ねえ、[beat]そのおニューのフックショット、とてもステキだね！","안녕, [beat]그 갈고리총 꽤 멋진걸요!","嘿呀， [beat]那個你的全新的叫投射鉤的東西看起來很讚！","嘿，真的，[beat]你那个亮闪闪还能射钩爪的东西真有型！",@
"bard_fortress_hookshot_re","If you don't mind, I'll leave the adventuring to you.
But don't worry - I'm documenting everything!
I should have enough material for a whole saga after this...","If you don't mind, I'll leave the adventuring to you.
But don't worry - I'm documenting everything!
I should have enough material for a whole saga after this...","Si tu permets, je vais te laisser gérer la partie aventure.
Mais tu peux me croire... Je note tout ce qui se passe !
Après ça, je devrais avoir de quoi écrire une saga...","Wenn du nichts dagegen hast, überlasse ich das mit den Abenteuern lieber dir.
Aber keine Bange - ich werde alles dokumentieren!
Wenn das hier vorbei ist, kann ich glatt eine ganze Heldensaga verfassen.","Berdin bazaizu, abentura zuri utziko dizut.
Baina ez arduratu - dena dokumentatzen ari naiz!
Honen ondoren saga oso baterako adina material izango dut...","Se não se importar, vou deixar a parte da aventura com você.
Mas não se preocupe. Estou documentando tudo!
Vou acabar tendo material para uma saga inteira depois disso...","Я не буду участвовать в приключениях, если ты не против.
Но не волнуйся: я все записываю!
Думаю, в конце пути у меня будет достаточно материала, чтобы сложить целую сагу...","悪いけど、探索はあなたに任せる。
でも大丈夫、わたしはすべてをメモしてるから！
この冒険が終わるころには、すっごい叙事詩を書けるだけの材料がそろってるはず…","괜찮다면, 모험을 좀 해줬으면 해요.
그래도 걱정 마요. 모험기는 다 적고 있으니까!
이 모험이 끝나면 노래 소재를 꽤나 많이 얻을 수 있을 거예요...","如果你不介意的話，我會把冒險這類事情留給你。
但請別擔心 - 我會用文字記錄這一切的！
在這隻後我應該就有足夠材料來寫完整的傳說...","你如果不介意的话，冒险还是交给你好了。
但别担心——我会把一切都记录下来！
这样，我手上的材料都能写一整部史诗了……",@
"bard_fortress_hookshot_2","That hookshot of yours, d'you think it could help you cross that gap up there?","That hookshot of yours, d'you think it could help you cross that gap up there?","Tu crois que tu pourrais franchir ce trou, là-haut, avec ton grappin ?","Meinst du, dein cooler Hakenschießer könnte dir helfen, mal eben da oben über den Spalt zu flattern?","Zure kako-tximista horrek... ez al dizu horko tarte hori igarotzen lagunduko?","Esse seu Arpéu... será que ajudaria você a atravessar aquele vão ali?","Как думаешь, с помощью твоего крюка можно будет перепрыгнуть через ту пропасть?","そのフックショットを使えば、あそこの溝を渡れるんじゃない？","그쪽이 들고 있는 갈고리총, 그걸로 저기 있는 틈을 넘어갈 수 있을 거 같지 않나요?","你的那個投射鉤，你覺得可以幫助你跨越那邊的缺口嗎？","你说，你的那个钩爪，能让你跨过这道沟壑吗？",@
"bard_fortress_asksong","Hey! [beat]You got that old elevator working!
Perfect timing, too -[beat] I just finished the next chapter of my song!
You'll be wanting to hear it, I imagine?","Hey! [beat]You got that old elevator working!
Perfect timing, too -[beat] I just finished the next chapter of my song!
You'll be wanting to hear it, I imagine?","Alors ça ! [beat]Tu as remis en marche le vieil ascenseur !
Ça tombe bien...[beat] Je viens de finir le couplet suivant de ma chanson !
J'imagine que tu meurs d'envie de l'entendre ?","He! [beat]Du hast den alten Aufzug wieder zum Laufen gekriegt!
Perfektes Timing.[beat] Ich habe gerade die nächste Strophe meiner Ballade fertig!
Du brennst doch sicher darauf, sie zu hören?","Ei! [beat]Igogailu zahar hori berriro martxan jartzea lortu duzu!
Une egokian, gainera -[beat] nire abestiaren hurrengo atala amaitu berri dut!
Entzun nahiko duzu, ala?","Puxa! [beat]Você fez o elevador antigo voltar a funcionar!
E na melhor hora![beat] Acabei de terminar o capítulo seguinte da minha música!
Você vai querer ouvir, imagino?","Ух ты! [beat]Тебе удалось запустить лифт!
Самое время —[beat] я как раз дописала куплет своей песни!
Тебе уже не терпится ее услышать?","ねえ！ [beat]古いエレベーターが動いたよ！
それにちょうどよかった。[beat]歌の新しい章ができたの！
聴きたい？ 聴きたい？","와! [beat]그 낡은 엘리베이터를 작동시켰군요!
타이밍 한 번 좋네요. [beat]저도 막 노래의 다음 장을 끝냈거든요!
한 번 들어볼래요?","嘿！ [beat]你讓那個老電梯運作了！
亦是完美的時機，[beat] 我也剛完成我的歌曲的下一樂章！
我想，你會想要聽它嗎？","嘿！[beat]你把那部旧电梯又给启动了！
时机也真完美——[beat]我刚把歌的下一段写完！
你肯定想听听看吧？",@
"bard_fortress_asksong_re","So, do you want to hear what I've been working on?","So, do you want to hear what I've been working on?","Alors, tu veux écouter ce que j'ai composé ?","Also, möchtest du hören, was ich mir zusammengereimt habe?","Beraz, entzun nahi duzu landu dudan azken atala?","Então, quer ouvir o que eu tenho feito?","Так, ты хочешь услышать мою песню?","わたしの新曲、聴きたい？","제가 작곡한 거 한번 들어보실래요?","那麼，你想要聽我正在創作的作品嗎？","你想不想听听我的成果？",@
"bard_fortress_song","<i>[speed20]I'll tell you a tale as old as time...[/]</i>
<i>[speed20]A classic repeating paradigm![/]</i>
<i>[speed20]A maiden trapped at the peak of our climb,[/]</i>
<i>[speed20]Her fisherman love driven out of his mind![/]</i>
<i>[speed20]The hero will right the wrongs of this crime![/]</i>","<i>[speed20]I'll tell you a tale as old as time...[/]</i>
<i>[speed20]A classic repeating paradigm![/]</i>
<i>[speed20]A maiden trapped at the peak of our climb,[/]</i>
<i>[speed20]Her fisherman love driven out of his mind![/]</i>
<i>[speed20]The hero will right the wrongs of this crime![/]</i>","<i>[speed20]""Voici une histoire vieille comme une vieille bique""...[/]</i>
<i>[speed20]""Un conte classique que souvent on déroule !""[/]</i>
<i>[speed20]""Une donzelle en détresse au sommet d'un pic,""[/]</i>
<i>[speed20]""Et le pêcheur que l'amour a rendu maboule !""[/]</i>
<i>[speed20]""Mais notre héros pourfendra les sadiques !""[/]</i>","<i>[speed20]Man kennt diese Handlung aus alten Geschichten,[/]</i>
<i>[speed20]Aus Fabeln, Legenden, Balladen, Gedichten.[/]</i>
<i>[speed20]Das Untier am Berg will die Jungfrau vernichten![/]</i>
<i>[speed20]Ihr Liebster muss tränenreich auf sie verzichten.[/]</i>
<i>[speed20]Doch jetzt kommt der Held, und der wird es schon richten.[/]</i>","<i>[speed20]Ipuin bat noa kontatzera, denbora bezain zaharra den kontua...[/]</i>
<i>[speed20]Behin eta berriro errepikatzen den paradigma malapartatua![/]</i>
<i>[speed20]Dontzeila bat, gure igoeraren gailurrean harrapatua,[/]</i>
<i>[speed20]Bere maite arrantzalea, bihotz-minez erotua![/]</i>
<i>[speed20]Heroiak zuzenduko du halabeharrak okertua![/]</i>","<i>[speed20]Contarei uma história antiga demais...[/]</i>
<i>[speed20]Um clássico que não enjoa jamais![/]</i>
<i>[speed20]Uma dama presa na montanha, no pico,[/]</i>
<i>[speed20]O pescador, seu amor, quase morria aflito![/]</i>
<i>[speed20]O herói corrigirá os erros que não ficaram para trás![/]</i>","<i>[speed20]Поведаю сказку, что стара как мир,[/]</i>
<i>[speed20]Одна из вечных парадигм:[/]</i>
<i>[speed20]С девушкой юной случилась беда,[/]</i>
<i>[speed20]Любимый ее теперь сходит с ума![/]</i>
<i>[speed20]Помочь им может только герой — спасти ее любой ценой![/]</i>","<i>[speed20]これは古の物語…[/]</i>
<i>[speed20]幾度も繰り返される大嵐！[/]</i>
<i>[speed20]山頂に囚われたる乙女[/]</i>
<i>[speed20]恋人を奪われ正気を失う船乗り[/]</i>
<i>[speed20]かの英雄、悪しきを正す、正義を求め！[/]</i>","<i>[speed20]아주 오래된 이야기...[/]</i>
<i>[speed20]전형적인 모험 이야기![/]</i>
<i>[speed20]우리가 오를 봉우리에 갇혀있는 아가씨에 대한 이야기,[/]</i>
<i>[speed20]사랑에 빠져버린 어부에 대한 이야기![/]</i>
<i>[speed20]영웅이 잘못된 걸 바로잡는 이야기![/]</i>","<i>[speed20]告訴你一個與時間一樣老的故事...[/]</i>
<i>[speed20]一個經典再現的典範！[/]</i>
<i>[speed20]一位困在我們正在攀爬高峰的女士，[/]</i>
<i>[speed20]她與她的漁夫情郎被迫拆散！[/]</i>
<i>[speed20]英雄會糾正這罪行的錯誤！[/]</i>","<i>[speed20]我要讲的故事，年代很久远……[/]</i>
<i>[speed20]套路真的经典，重复无数遍！[/]</i>
<i>[speed20]有少女在山巅，无法把家还，[/]</i>
<i>[speed20]她爱人是渔夫，思念变疯癫！[/]</i>
<i>[speed20]大英雄从天降，正道现人间！[/]</i>",@
"bard_fortress_wrapup","Woo! [beat]What do you think?
Yeah,[beat] stunned silence.[pause] That's what I was expecting.
Alright then, I'll meet you further up the mountain.
Don't get into any trouble on the way...[longpause] At least, not without me!","Woo! [beat]What do you think?
Yeah,[beat] stunned silence.[pause] That's what I was expecting.
Alright then, I'll meet you further up the mountain.
Don't get into any trouble on the way...[longpause] At least, not without me!","Oh yeah ! [beat]Alors, qu'est-ce que tu en penses ?
Oui...[beat] le silence qui suit, c'est encore du Barb.[pause] Tu as raison.
Bon, très bien. On se retrouve en haut de la montagne.
Ne t'attire pas d'ennuis en chemin...[longpause]En tout cas, pas sans moi !","Wuhuu! [beat]Was sagst du nun?
Ja, was,[beat] da hat‘s dir die Sprache verschlagen.[pause] Genau das hatte ich erwartet.
Na prima. Wir treffen uns dann weiter oben am Berg.
Mach bloß keinen Blödsinn unterwegs.[longpause] Jedenfalls nicht ohne mich.","Horratx! [beat]Eta? Zer deritzozu?
Badakit,[beat] hitzik gabe gelditu zara.[pause] Espero nuena.
Ongi da, ba, gorago ikusiko dugu elkar.
Ez gero bidean arazotan sartu...[longpause] Ez, behintzat, ni inguruan ez nabilenean!","Uhul! [beat]O que achou?
É,[beat] silêncio mortal.[pause] Era o que eu imaginava.
Tudo bem, então nos encontramos mais para cima da montanha.
Não vá arrumar encrenca pelo caminho...[longpause] Pelo menos não sem mim!","Ух! [beat]Как тебе моя песня?
Ха,[beat] да ты и слова сказать не можешь.[pause] Я так и думала.
Ладно, я догоню тебя на склоне горы.
Не попади в неприятности, пока будешь идти...[longpause] По крайней мере, без меня!","ふー！[beat]どうだった？
なんで黙ってるの…[beat]あ、歌がすごすぎた？[pause] そうでしょう、そうでしょう。
よかった、じゃあ、また上で会いましょう。
わたしが見てないところでトラブルに巻き込まれないでね…[longpause] 歌のネタを見逃したくないから！","휴! [beat]어떻게 생각해요?
그래요,[beat] 놀라서 입이 안 벌어지죠.[pause] 바로 그런 걸 기대했어요.
좋아요 그럼. 산 저 앞에서 만나도록 하죠.
오면서 말썽에 휘말리지 않길 바라요...[longpause] 최소한, 저 없이는 안 돼요!","哇哦！ [beat]你覺得怎樣？
耶呀，[beat] 驚呆到無語了。[pause] 那正是我所預期的反映。
好吧，那我到前面山上與你碰面。
可別在路上惹上任何麻煩...[longpause] 至少，我不要缺席！","呜呼！[beat]怎么样？
是啊，[beat]惊艳到说不出话来，[pause]我早就料到了。
行了，再往上爬一段再见吧。
路上可别遇上麻烦……[longpause]真遇到了，我可得在现场！",@
"bard_fortress_wrapup_re","Meet you further up the mountain, pal!","Meet you further up the mountain, pal!","On se reverra plus haut dans la montagne !","Wir treffen uns weiter oben am Berg, Kumpel!","Mendian gorago ikusiko dugu elkar, adiskide!","Nos encontramos mais para cima da montanha, amigo!","Увидимся дальше на склоне, дружище!","じゃあ、また上で会いましょう！","산 저 앞에서 만나도록 하죠.","好吧，那我到前面山上與你碰面，伙伴！","山上见喽，兄弟！",@
"stl_hobo_1","[anim]Welcome to the Camp of the Free Crows,[beat] old friend.
We knew you'd make it here eventually...
Even if you needed a bit of guidance along the way...
[anim]Heh[beat] heh[beat] heh...","[anim]Welcome to the Camp of the Free Crows,[beat] old friend.
We knew you'd make it here eventually...
Even if you needed a bit of guidance along the way...
[anim]Heh[beat] heh[beat] heh...","[anim]Bienvenue au Camp des Corbeaux Libres,[beat] mon vieil ami.
Nous savions que tu arriverais jusqu'ici...
Même s'il a fallu te guider un peu sur ton chemin...
[anim]Hé[beat] hé[beat] hé...","[anim]Willkommen im Lager der Freien Krähen,[beat] alter Freund.
Wir wussten, dass du irgendwann hier eintreffen würdest.
Selbst wenn man dich ab und zu in die richtige Richtung schubsen musste ...
[anim]He[beat] he[beat] he ...","[anim]Ongi etorri Bele Askeen Kanpamentura,[beat] lagun zaharra.
Bagenekien noizbait etorriko zinela...
Nahiz eta bidean zehar laguntza pittin bat behar izan duzun...
[anim]Kar[beat] kar[beat] kar...","[anim]Bem-vindo ao Acampamento dos Corvos Livres,[beat] velho amigo.
Sabíamos que você chegaria alguma hora...
Mesmo tendo precisado de uma orientação pelo caminho...
[anim]He[beat] he[beat] he...","[anim]Добро пожаловать в Лагерь свободных ворон,[beat] наш долгожданный друг.
Мы знали, что рано или поздно ты придешь...
Хотя и не без некоторой внешней помощи...
[anim]Хи[beat] хи[beat] хи...","[anim]カラス解放同盟のキャンプへようこそ、[beat]古き友よ。
君がいずれここに来ることはわかっていた…
多少の導きは必要だっただろうけどな…
[anim]クワッ、[beat]クワッ、[beat]クワッ…","[anim]자유 까마귀 야영지에 온 걸 환영하네.[beat] 친구.
자네가 여기까지 올 줄 알고 있었지...
오면서 안내가 좀 필요하긴 했지만 말이야...
[anim]헷[beat] 헷[beat] 헷...","[anim]歡迎來到自由烏鴉營地，[beat] 老朋友。
我們知道你最終還是會到達這裡...
即使你在來此的路上需要一點引導...
[anim]嘿[beat] 嘿[beat] 嘿...","[anim]欢迎来到自由乌鸦营地，[beat]老朋友。
我们就知道，你绝对能抵达这里……
虽说路上需要一些引导吧……
[anim]嘿[beat]嘿[beat]嘿……",@
