"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","NORTASUN<br>GEHIGARRIA"
"IdSupplementInner","HT","GAR"
"IdSupplementInner","WT","PIS"
"IdSupplementInner","DESCRIPTION","DESKRIBAPENA"
"IdSupplementInner","THUMB","ERPURUA"
"IdSupplementInner","Keep on person","Eraman aldean"
"IdSupplementInner","EXP.","IRA."
"LocketInnerOpen","To Sergiu from your Elisa","Sergiuri, zeure Elisak"
"LocketInnerOpen","I Love You Always","Maite Zaitut"
"LoveSongInner1","YOU","ZU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","SUGARRA BEZAIN BERO"
"LoveSongInner2","you","zu"
"LoveSongInner2","OBJECT OF DESIRE","NIRE DESIREN HELBURU"
"LoveSongInner3","YOU<br>(AGAIN)","ZU<br>(BERRIZ)"
"LoveSongInner3","WRAP MY HEART IN WIRE","BIHOTZA KATIGATU DIDAZU"
"LoveSongInner4","ApPROVED","OnARTUTA"
"LoveSongInner4","APPROVE MY VISA","ONARTU NIRE BISA"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","SARRERA BISA"
"PassportInnerAntegria","DOB.","JAI."
"PassportInnerAntegria","SEX","SEX."
"PassportInnerAntegria","ISS.","AGI."
"PassportInnerAntegria","EXP.","IRA."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","SARRERA BISA"
"PassportInnerArstotzka","DOB.","JAI."
"PassportInnerArstotzka","SEX","SEX."
"PassportInnerArstotzka","ISS.","AGI."
"PassportInnerArstotzka","EXP.","IRA."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","SARRERA BISA"
"PassportInnerImpor","DOB.","JAI."
"PassportInnerImpor","SEX","SEX."
"PassportInnerImpor","ISS.","AGI."
"PassportInnerImpor","EXP.","IRA."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","SARRERA BISA"
"PassportInnerKolechia","DOB.","JAI."
"PassportInnerKolechia","SEX","SEX."
"PassportInnerKolechia","ISS.","AGI."
"PassportInnerKolechia","EXP.","IRA."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","SARRERA BISA"
"PassportInnerObristan","DOB.","JAI."
"PassportInnerObristan","SEX","SEX."
"PassportInnerObristan","ISS.","AGI."
"PassportInnerObristan","EXP.","IRA."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","SARRERA BISA"
"PassportInnerRepublia","DOB.","JAI."
"PassportInnerRepublia","SEX","SEX."
"PassportInnerRepublia","ISS.","AGI."
"PassportInnerRepublia","EXP.","IRA."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","SARRERA BISA"
"PassportInnerUnitedFed","DOB.","JAI."
"PassportInnerUnitedFed","SEX","SEX."
"PassportInnerUnitedFed","ISS.","AGI."
"PassportInnerUnitedFed","EXP.","IRA."
"PassportInnerUnitedFed","UNITED FEDERATION","FEDERAZIO BATUA"
"PlaqueOneInner","Ministry of Admission","Onarpen Ministerioa"
"PlaqueOneInner","RECOGNITION","AITORPENA"
"PlaqueOneInner","FOR","Arloa:"
"PlaqueOneInner","HANG ON WALL","ESEKI HORMAN"
"PlaqueTwoInner","Ministry of Admission","Onarpen Ministerioa"
"PlaqueTwoInner","RECOGNITION","AITORPENA"
"PlaqueTwoInner","FOR","Arloa:"
"PlaqueTwoInner","HANG ON WALL","ESEKI HORMAN"
"PoisonInnerBack","OPEN","IREKI"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","EZ UKITU HAUTSA"
"PoisonInnerOpen1","CLOSE","ITXI"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","LERROKATU HAUTSA ETA PASAPORTEA"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","SAKATU GOGOR FINKATZEKO"
"PoisonInnerOpen2","CLOSE","ITXI"
"PoliceBadgeInner","MINISTRY OF INFORMATION","INFORMAZIO MINISTERIOA"
"PoliceBadgeInner","Office of Investigation","Ikerkuntza bulegoa"
"PoliceBadgeInner","East Grestin Division","Hego Grestin dibisioa"
"PoliceBadgeInner","Special Investigator","Ikertzaile berezia"
"PoliceBadgeInner","MOI","IM"
"PressPassInner","INTERNATIONAL","NAZIOARTEKO"
"PressPassInner","PRESS","Prentsa"
"PressPassInner","IDENTIFICATION","AGIRIA"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","BAIMENAK ARSTOTZKARA<br> SARRERA AITORTU<br> BEHAR DU"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASAPORTEAREN <span>AGI.</span> EREMUA EGIAZTATU"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENTUAK ZIGILUA<br>IZAN BEHAR DU"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Onarpen Ministerioa"
"RulesInnerHome","RULES","ARAUAK"
"RulesInnerHome","&amp;","eta"
"RulesInnerHome","REGULATIONS","JARRAIBIDEAK"
"RulesInnerHome","for Inspectors","Ikuskatzaileentzat"
"RulesInnerHome","CONTENTS","EDUKIAK"
"RulesInnerHome","PROPERTY OF","JABETZA:"
"RulesInnerHome","M.O.A","O.M."
"RulesInnerBasic","RULES","ARAUAK"
"RulesInnerRegion","DIPLOMATIC SEALS","ZIGILU DIPLOMATIKOAK"
"RulesInnerRegion","PASSPORT","PASAPORTEA"
"RulesInnerRegion","ISSUING CITIES","HIRI AGIRIGILEAK"
"RulesInnerRegionArstotzka","DISTRICTS","BARRUTIAK"
"RulesInnerRegionArstotzka","PASSPORT","PASAPORTEA"
"RulesInnerRegionArstotzka","ISSUING CITIES","HIRI AGIRIGILEAK"
"RulesInnerBooth","INSPECTOR'S BOOTH","IKUSKATZAILEEN KABINA"
"RulesInnerBooth","Shutter","Leihatila"
"RulesInnerBooth","Counter","Mahaigaina"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Arauen liburua<br>Audio trans.<br>Buletina<br>Ordua &amp; data"
"RulesInnerBooth","UPGRADES","EGUNERATZEAK"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","EZ DA EGUNERATZERIK<br>INSTALATU"
"RulesInnerBooth2","INSPECTOR'S BOOTH","IKUSKATZAILEEN KABINA"
"RulesInnerBooth2","Shutter","Leihatila"
"RulesInnerBooth2","Counter","Mahaigaina"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Audio trans.<br>Arauen liburua<br>Pisua"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Buletina<br>Ordua eta data"
"RulesInnerBooth2","UPGRADES","EGUNERATZEAK"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","EZ DA EGUNERATZERIK<br>INSTALATU"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFIZIALKI ONETSITAKO"
"RulesInnerDocs","DOCUMENTS","DOKUMENTUAK"
"RulesInnerDocs","CONTENTS","EDUKIAK"
"RulesInnerEntryPermit","ENTRY PERMIT","ONARPEN BAIMENA"
"RulesInnerEntryPermit","VALID SEALS","BALIOZKO ZIGILUAK"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKAKO<br>NORTASUN AGIRIA"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","ARSTOTZKAKO HERRITAR GUZTIEI HELARAZIA"
"RulesInnerIdCard","DISTRICTS","BARRUTIAK"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","NORTASUN<br>GEHIGARRIA"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","ATZERRITAR GUZTIEI HELARAZIA"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","ATZERRITARREN ITXURA FISIKOA EGIAZTATZEKO"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","EGIAZTATU ERPURUAREN MARKA, HATZ-MARKA ERREGISTROA ESKURAGARRI DAGOENEAN SOILIK"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DOKUMENTU HAU EPE LABURRERAKO DA - EGIAZTATU ARRETAZ IRAUNGITZE-DATA"
"RulesInnerAccessPermit","ACCESS PERMIT","SARRERA BAIMENA"
"RulesInnerAccessPermit","VALID SEALS","BALIOZKO ZIGILUAK"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","DOKUMENTU HONEK ONARPEN BAIMENA ETA NORTASUN GEHIGARRIA ORDEZKATZEN DITU"
"RulesInnerWorkPermit","WORK PASS","LANERAKO PASEA"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","ONARTUTAKO ATZERRITAR LANGILE GUZTIEI HELARAZIA"
"RulesInnerWorkPermit","VALID SEALS","BALIOZKO ZIGILUAK"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMAZIA"
"RulesInnerDiplomaticAuth","AUTHORIZATION","BAIMENA"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","BALIOZTATU ZIGILUA HERRIALDEAREN ORRIAREKIN"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","ASILO<br>AITORPENA"
"RulesInnerAsylumGrant","VALID SEALS","BALIOZKO ZIGILUAK"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","EGIAZTATU BETI<br> HATZ-MARKAK"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","TXERTO ZIURTAGIRIA"
"RulesInnerVaccineCert","MINISTRY","OSASUN"
"RulesInnerVaccineCert","OF","·"
"RulesInnerVaccineCert","HEALTH","MINISTERIOA"
"RulesInnerVaccineCert","REGULATION DOCUMENT","ERREGULAZIO-DOKUMENTUA"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","POLIO TXERTOA IZAN BEHAR DUTE ESKATZAILEEK"
"RulesInnerVaccineCert","NO EXCEPTIONS","SALBUESPENIK GABE"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASAPORTEA KONFISKATZEA"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","ERAMAN PASAPORTEA KONFISKATZE-TIRADERARA"
"RulesInnerConfiscation","POLICY","POLITIKA"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASAPORTEAK ATXILOTU AURRETIK KONFISKATU BEHAR DIRA"
"RulesInnerConfiscation","MOI","IM"
"RulesInnerLast","PROPERTY OF","JABETZA:"
"RulesInnerLast","M.O.A.","O.M."
"RulesInnerLast","GLORY TO ARSTOTZKA","AINTZA ARSTOTZKARI"
"RulesInnerLast","Arstotzkan","Arstotzkako"
"RulesInnerLast","Ministry of Admission","Onarpen Ministerioa."
"RulesInnerLast","Rules &amp; Regulations","Arauak eta jarraibideak"
"RulesInnerLast","for Inspectors","ikuskatzaileentzat"
"RulesInnerLast","1982-1983 Edition","1982-1983 edizioa"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","EZ BANATU.<br> BANAKETA GOGORKI ZIGORTUKO DA"
"RulesTabConfL","CONF.","KONF."
"RulesTabConfR","CONF.","KONF."
"RulesTabDocsL","DOCS","DOKU."
"RulesTabDocsR","DOCS","DOKU."
"RulesTabMapL","MAP","MAPA"
"RulesTabMapR","MAP","MAPA"
"RulesTabRulesL","RULES","ARAUAK"
"RulesTabRulesR","RULES","ARAUAK"
"RulesUpgrade0","TOGGLE INSPECT","IKUSKATZE MODUA"
"RulesUpgrade0","SPACE","ZURIUNEA"
"RulesUpgrade1","TOGGLE STAMP BAR","ERAKUTSI ZIGILU-BARRA"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","ARAUEN LIBURUKO<br> LASTER-TEKLAK"
"RulesUpgrade3","QUICK INSPECT","IKUSKATZE BIZKORRA"
"RulesUpgrade3","DOUBLE-CLICK","KLIK BIKOITZA"
"RulesUpgrade4","MULTITOUCH","UKIPEN ANITZA"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzkako Onarpen Ministerioa"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASAPORTE KONFISKATZE TIKETA"
"SeizureSlipInner","ENTRY VISA","SARRERA BISA"
"SeizureSlipInner","Your passport has been seized.","Zure pasaportea konfiskatu da."
"SeizureSlipInner","Contact 1509-6103 for redress.","Deitu 1509-6103ra ordainerako."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Kolechiako ur-hegaztien ernaltze ohiturak"
"SpyDocsInnerBack","A FULL REPORT","TXOSTEN OSOA"
"SpyDocsInnerBack","Ministry of Information","Informazio Ministerioa"
"TranscriptInner","AUDIO TRANSCRIPT","AUDIO TRANSKRIPZIOA"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Txerto<br> ziurtagiria"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","DATA"
"VaccineCertInner","VACCINE","TXERTOA"
"VaccineCertInner","Vax valid for 3 years","Txertoa baliozkoa 3 urterako"
"VisaSlipInner","TEMPORARY VISA SLIP","ALDI BATERAKO BISA TIKETA"
"VisaSlipInner","ENTRY VISA","SARRERA BISA"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","UKATZEAN SOILIK ERABILTZEKO"
"WorkPermitInner","Ministry of Labor","Lan Ministerioa"
"WorkPermitInner","Work Pass","Lanerako pasea"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Pase honek bere jabeari alor batean denbora jakin baterako lan egitea baimentzen dio."
"WorkPermitInner","HOLDER","JABEA"
"WorkPermitInner","FIELD","ALORRA"
"WorkPermitInner","UNTIL","IRAUNG."
"WorkPermitInner","Keep this pass with you at all times.","Eraman pase hau beti aldean."
"EndNews","Kolechian Consensus Reached Over Grestin","Kontsentsua Grestini buruz Kolechian"
"ApartmentClass","CLASS","KLASEA"
"DetainButton","DETAIN","ATXILOTU"
"FingerprintButton","FINGERPRINT","HATZ-MARKAK"
"SearchButton","SEARCH","MIATU"
"EmblemsMOA","M.O.A","O.M."
"EmblemsMOA","M.O.L","L.M."
"EmblemsMOL","M.O.L","L.M."
"Filer","CONFISCATED DOCUMENTS","KONFISKATUTAKO DOKUMENTUAK"
"Filer","PROPERTY OF","JABETZA:"
"Filer","M.O.A.","O.M."
"GiveIcon","GIVE","EMAN"
"LoadButtonNew","NEW","BERRIA"
"LoadDay","DAY","EGUNA:"
"LoadDrag","DRAG TO SCROLL","ARRAST. KORRITZEKO"
"News","The Truth of Arstotzka","Arstotzkako Egia"
"News","No Charge","Dohainik"
"ReasonButton","REASON","KAUSA"
"RifleKill","KILL","HIL"
"RifleTranq","TRANQ","LASAIG."
"StampBarMid","ALIGN VISA BENEATH STAMP","LERROKATU BISA ZIGILUPEAN"
"Upgrades","SPACE","ZURIU"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","http://oihanguren.com/itzulpenak/papersplease/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","ESEKI HORMAN"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","http://oihanguren.com/itzulpenak/papersplease/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Hego Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FANTASIA ORO ASETZEKO"
"image:PezpertInner.png","capture/PezpertInner.png","http://oihanguren.com/itzulpenak/papersplease/PezpertInner.png"
"PezpertInner","STAMP HERE","ZIGILUA HEMEN"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","http://oihanguren.com/itzulpenak/papersplease/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","esekI hOrmAn"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","http://oihanguren.com/itzulpenak/papersplease/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","http://oihanguren.com/itzulpenak/papersplease/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","http://oihanguren.com/itzulpenak/papersplease/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","http://oihanguren.com/itzulpenak/papersplease/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","http://oihanguren.com/itzulpenak/papersplease/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","http://oihanguren.com/itzulpenak/papersplease/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","http://oihanguren.com/itzulpenak/papersplease/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","http://oihanguren.com/itzulpenak/papersplease/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","http://oihanguren.com/itzulpenak/papersplease/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","http://oihanguren.com/itzulpenak/papersplease/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","http://oihanguren.com/itzulpenak/papersplease/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
