Context Note (not to translate),Speaker,English,Translation,File name,Line number
,Mentor,All you need to do is to<nl><b>jump<b> off the ground.,Gauza bat besterik ez duk<nl>egin behar: <b>jauzi<b>.,Dream/asioLessonFlight,52
,Mentor,"Then, when you're in mid-air,<nl>spread your wings and flap them.","Eta behin airean haizela, zabaldu<nl>hegoak eta hegan egin.",Dream/asioLessonFlight,52
,Mentor,The owl cloak I gave you<nl>should take care of the rest.,Eman diadan hontz-kapak<nl>egin beharko likek beste guztia.,Dream/asioLessonFlight,52
,Mentor,"Go, Otus!<20> Show me what you can do!","Tirok, Otus!<20> Erakutsidak zertarako gai haizen!",Dream/asioLessonFlight,72
,Mandolyn,"Why so nervous, Otus?","Zergatik zaude urduri, Otus?",Dream/mandolyn,5
,Mandolyn,"Of course, you have every reason to be!",Egia! Baduzu horretarako motiborik!,Dream/mandolyn,15
,Bomboman,You want to know truth?,Egia jakin nahi duala?,Dream/bomboman,5
,Bomboman,You mute!,Mutu hori!,Dream/bomboman,9
,Bomboman,Wouldn't be able to tell anyone anyway!,Ezingo diok inori kontatu baina!,Dream/bomboman,13
,Professor,The truth about you?,Hiri buruzko egia?,Dream/professor,8
,Professor,Are you sure you want to hear it?,Ziur entzun nahi duala?,Dream/professor,18
,Mentor,Otus! Don't stray!,Otus! Ez bidetik atera!,Vellie/Asio/checkStray,20
,Mentor,"I need a word with you, Otus.<nl>Land here beside me.","Hirekin hitz egin behar diat, Otus.<nl>Lurreratu hemen, nire alboan.",Vellie/Asio/checkStray,20
,Mentor,NOW!,ORAIN!,Vellie/Asio/checkStray,20
,Mentor,"Alright, you're flying!<nl><30>Now, try and move around a bit!","Oso ondo, hegan habil!<nl><30>Orain, saiatu pixka bat mugitzen!",Dream/explainMovement,13
,Mentor,See that platform up there?,Ikusten han goiko plataforma hura?,Dream/explainMovement,17
,Mentor,"Fly up there and land on that island,<nl><30>then I'll teach you the real tricks.","Egin hegan haraino eta lurreratu uhartean,<nl><30>gero benetako trikimailuak erakutsiko dizkiat.",Dream/explainMovement,38
,Mentor,.<20>.<20>.<20>.,.<20>.<20>.<20>.,Dream/asioLessonFlightFailed,13
,Mentor,"Hmmm, well, Otus... <30><nl>That was some terrible flying.","Mmm, begira, Otus... <30><nl>Aspaldi ez nuela halako hegaldi kaxkarrik ikusten.",Dream/asioLessonFlightFailed,36
,Mentor,"I have to say, I'm <40>really disappointed.<nl><30>Most students pick this up instantly.","Aitortu behar diat, <40>oso dezepzionatuta nagok.<nl><30>Ikasle gehienek lehenengoan lortzen ditek.",Dream/asioLessonFlightFailed,44
,Mentor,<10>.<10>.<10>.,<10>.<10>.<10>.,Dream/asioLessonFlightFailed,60
,Mentor,Tomorrow we'll go back to normal studies.,Bihar ohiko ikasketetara itzuliko gaituk.,Dream/asioLessonFlightFailed,68
,Mentor,It pains me to see such inept flying.,Horren hegakera traketsa ikusteak min ematen zidak.,Dream/asioLessonFlightFailed,68
,PickupMentor,"Quickly, Otus, they are short on water in Vellie!","Bizkor, Otus, <20>ia ez ditek urik Vellien!<40>",Dream/asioLessonPickups,105
,PickupMentor,People need our help!,Gure laguntza behar ditek!<40>,Dream/asioLessonPickups,121
,PickupMentor,The drought isn't as patient<nl>with your sluggishness as I am!,Lehorteak ez dik nik besteko pazientziarik<nl>hire moteltasunarekin!,Dream/asioLessonPickups,134
,PickupMentor,Why have you left the<nl>water jug on the ground?!,Zergatik utzi duk<nl>ur-pitxerra lurrean?!,Dream/asioLessonPickups,149
,PickupMentor,Pick it up immediately!<nl>Hurry up!,Jasozak berehala!<nl>Bizkor!,Dream/asioLessonPickups,173
,PickupMentor,Hang on...,Itxoin...,Dream/asioLessonPickups,211
,PickupMentor,You've been sloshing the jug around!,Pitxerreko ura bota duk!,Dream/asioLessonPickups,211
,PickupMentor,Let me check if there's any water left.,Utzidak ikusten ea urik gelditzen den.,Dream/asioLessonPickups,211
,PickupMentor,Put the jug down here.,Ekarri pitxerra hona.,Dream/asioLessonPickups,243
,PickupMentor,Hey! <30>Stop fooling around!,Ei! <30>Utzi txorakeriak!,Dream/asioLessonPickupsReminder,14
,PickupMentor,Put the jug down over here!,Ekarri pitxerra hona!,Dream/asioLessonPickupsReminder,14
,PickupMentor,"Place the jug here, next to me!","Uztak hemen, nire alboan!",Dream/asioLessonPickupsReminder,14
,PickupMentor,Are you blind?! <30>Put it down there!,Itsu hago?! <30>Uztak hemen!,Dream/asioLessonPickupsReminder,14
,PickupMentor,NO!,EZ!,Dream/asioLessonPickupsFailed,34
,PickupMentor,"I told you to put it down,<nl>not to smash it!","Hemen uzteko esan diat,<nl>ez hona botatzeko!",Dream/asioLessonPickupsFailed,41
,PickupMentor,How are we supposed to bring<nl>water to the villagers now?!,Nola eramango zieagu<nl>ura herritarrei orain?!,Dream/asioLessonPickupsFailed,65
,PickupMentor,I will not forget this!,Ez diat hau ahaztuko!,Dream/asioLessonPickupsFailed,83
,PickupMentor,And I will make sure that<nl>the others are aware of what<nl>your incompetence has cost us!,"Eta neu arduratuko nauk<nl>beste denei ere esaten,<nl>jakin dezaten hire inkonpetentziak<nl>zer kalte egin digun!",Dream/asioLessonPickupsFailed,87
,PickupMentor,Do you understand?!,Ulertzen al duk?!,Dream/asioLessonPickupsFailed,91
,PickupMentor,"I cannot describe how<nl>disappointed I am in you, Otus.","Ezin diat azaldu zenbat<nl>dezepzionatu nauan, Otus.",Dream/asioLessonPickupsFailed,120
,PickupMentor,Leave me. <30>I will bring water to Vellie myself.,Utz nazak. <30>Neronek eramango diat ura Velliera.,Dream/asioLessonPickupsFailed,124
,CoolMentor,"Otus, you have failed me again<30> and again<30> and again.","Otus, huts egin didak,<30> behin<30> eta berriro<30> eta berriro.",Dream/asioLessonPickupsFailed,192
,CoolMentor,Today there are no lessons.,Gaur etzagok eskolarik.,Dream/asioLessonPickupsFailed,221
,CoolMentor,All you need to do today<30><nl>is to talk to the other villagers.,Gaur egin behar duan bakarra<30><nl>herritarrekin hitz egitea duk<30>.,Dream/asioLessonPickupsFailed,241
,CoolMentor,"Simple enough, right?<nl><30>Even for you.","Erraza, eztok?<nl><30>Baita hiretzat ere<30>.",Dream/asioLessonPickupsFailed,246
,CoolMentor,Have them tell you what they<nl>think of you<30> and your i<2>n<2>e<2>p<2>t<2>i<2>t<2>u<2>d<2>e<10>.,Galdetuiek ea zer iritzi duten hitaz<nl>eta hire <30> i<2>n<2>u<2>t<2>i<2>l<2>i<2>d<2>a<2>d<2>e<2>a<2>z<10>.,Dream/asioLessonPickupsFailed,251
,CoolMentor,Don't come back until you<nl>know what you need to know.,Ez etorri bueltan<nl>jakin beharrekoa jakin gabe<30>.,Dream/asioLessonPickupsFailed,256
,Mentor,<b>[1]Otus!<b>,<b>[1]Otus!<b>,otus_house_introGDC,63
,Mentor,[1]OTUS!!!,[1]OTUS!!!,otus_house_introGDC,112
,Mentor,"Finally awake,<nl>are you?","Esna azkenean,<nl>ezta?",otus_house_introGDC,130
,Mentor,*S<3>i<3>g<3>h*,*H<3>a<3>s<3>p<3>e<3>r<3>e<3>n*,otus_house_introGDC,145
,Mentor,We are going to be late!,Berandu iritsiko gaituk!,otus_house_introGDC,156
,Mentor,"Good thing I came here to wake you,<nl>or you would have slept for another hour!","Eskerrak iratzartzera etorri naizena,<nl>edo beste ordubete emango huke lotan!",otus_house_introGDC,160
,Mentor,Get out of bed immediately<nl>and meet me outside.,"Jaiki ohetik berehala,<nl>kanpoan itxoingo haut.",otus_house_introGDC,168
,Alphonse,"Welcome, Master Otus.","Ongi etorri, Maisu Otus.",OtusHouse/onEnter,31
,Alphonse,...,...,OtusHouse/onEnter,35
,Alphonse,...I wanted to speak with you and Geddy.,... zurekin eta Geddyrekin hitz egin nahi nuen.,OtusHouse/onEnter,44
,Alphonse,I think it is time to<20> discuss a few things.,Uste dut badela garaia<20> gauza batzuez eztabaidatzeko.,OtusHouse/onEnter,44
,Alphonse,...And<30> I also thought you might<nl>both need someone to talk to.,...Eta<30> gainera pentsatu dut agian zuek ere<nl>hitz egiteko norbait beharko duzuela.,OtusHouse/onEnter,53
,Alphonse,"Ah, Master Otus,<30> Master Geddy.","A, Maisu Otus,<30> Maisu Geddy.",OtusHouse/onEnter,118
,Alphonse,"Forgive me for hiding in your home, Otus.","Barkadazu zure etxean ezkutatu izana, Otus.",OtusHouse/onEnter,118
,Alphonse,It would do no good if the locals saw<nl>you fraternizing with a former pirate.,Iruditu zitzaidan ez litzatekeela egokia izango<nl>herritarrek zu pirata ohi baten lagun gisa ikustea.,OtusHouse/onEnter,118
,Alphonse,Especially after <30>what has happened.,Batez ere <30>gertatutakoa gertatu ondoren.,OtusHouse/onEnter,118
,Mechanic,"...Advent is destroyed,<30> and <30>there<nl>was nothing we could do to stop it.","...Abendu suntsitua dago,<30> eta <30>ezin<nl>genezakeen ezer egin ekiditeko.",OtusHouse/onEnter,129
,Mechanic,"Molstrom, <30>and the pirates, <30><nl>why would they do such a thing?","Molstromek, <30>eta piratek, <30><nl>zergatik egin dute halakorik?",OtusHouse/onEnter,129
,Alphonse,<15>.<15>.<15>.,<15>.<15>.<15>.,OtusHouse/onEnter,138
,Mechanic,Alphonse?.. <30>Is there<nl>something you're not telling us?,Alphonse?... <30>Zerbait ezkutatzen ari zara?,OtusHouse/onEnter,143
,Mechanic,ALPHONSE!?,ALPHONSE?!,OtusHouse/onEnter,168
,Mechanic,"If you know something, <30>ANYTHING,<nl><30>that can aid us against Molstrom..!","Zerbait badakizu, <30>EDOZER,<nl><30>Molstromen aurka lagun gaitzakeenik...!",OtusHouse/onEnter,168
,Mechanic,...It might help us prevent<nl>yet another attack on <b>Vellie<b>!,"...Agian beste eraso bat saihets<nl>genezake, <b>Vellie<b>ren aurkako bat!",OtusHouse/onEnter,168
,Alphonse,"You are most certainly right, Master Geddy.","Arrazoi osoa duzu, Maisu Geddy.",OtusHouse/onEnter,185
,Alphonse,Molstrom<15>.<15>.<15>. <60>The pirates<15>.<15>.<15>. <60>And myself.,Molstrom<15>.<15>.<15>. <60>Piratak<15>.<15>.<15>. <60>Eta neroni.,OtusHouse/onEnter,197
,Alphonse,We were all <15>c<3>r<3>e<3>a<3>t<3>e<3>d <45>by the <b>Owls<b>.,Gu guztiok <15>s<3>o<3>r<3>t<3>u gintuzten<45> <b>hontzek<b>.,OtusHouse/onEnter,201
,Mechanic,...,...,OtusHouse/onEnter,216
,Mechanic,WHAT!?,ZER?!,OtusHouse/onEnter,235
,Alphonse,"Your mentor is right, Otus.","Zure mentorea zuzen dabil, Otus.",OtusHouse/onEnter,251
,Alphonse,Molstrom is gathering ancient <b>owl relics<b>.,Molstrom antzinako <b>hontzen erlikiak<b> biltzen ari da.,OtusHouse/onEnter,251
,Alphonse,"And when he gets them all,<nl>he will be unstoppable.","Eta guztiak eskuratzen dituenean,<nl>geldiezina izango da.",OtusHouse/onEnter,251
,Alphonse,I will tell you what I know...,Dakidana kontatuko dizuet...,OtusHouse/onEnter,270
,Mechanic,"Wait, so... <30>You're saying the pirates<nl>destroyed Advent just to get the relic?","Itxaron, orduan... <30>Esan nahi duzu Abendu erlikia bat<nl>eskuratzeko soilik suntsitu zutela?",OtusHouse/onEnter,363
,Alphonse,"Yes, Master Geddy. <30><nl>And now, <30>only <b>one remains<b>.","Bai, Maisu Geddy. <30><nl>Eta orain, <30><b>bakarra<b> geratzen da.",OtusHouse/onEnter,368
,Alphonse,"If he gets the <15>third and <15>final Relic, <nl><30>I'm afraid Molstrom will be unstoppable.","Molstromek <15>hirugarren eta <15>azken Erlikia bereganatzen badu,<nl><30>zoritxarrez uste dut geldiezina izango dela.",OtusHouse/onEnter,373
,Mechanic,Is there nothing we can do?,Eta ezin dezakegu ezer egin?,OtusHouse/onEnter,385
,Alphonse,"There is, but...","Bai, baina...",OtusHouse/onEnter,400
,Alphonse,...I admit I am hesitant.,...Onartzen dut nire kezkak ditudala.,OtusHouse/onEnter,409
,Alphonse,My suggestion to try to stop the pirates<nl>in Advent put your lives in danger.,Abendun piratak geldiarazteko egin nuen iradokizunak<nl>zuen biziak arriskuan jarri zituen.,OtusHouse/onEnter,409
,Alphonse,Perhaps <30>it would be best if we didn't<nl>try to meddle with the pirates anymore.,Agian <30>hobe litzateke ez bagina<nl>gehiago piraten bidean gurutzatuko.,OtusHouse/onEnter,409
,Mechanic,The pirates are threatening Vellie!<nl><30>We have to try and stop them!,Piratek Vellie mehatxupean daukate!<nl><30>Haiek geldiarazten saiatu beharra dugu!,OtusHouse/onEnter,420
,Mechanic,What happened in Advent wasn't your fault!,Abendun gertatu zena ez zen zure errua izan!,OtusHouse/onEnter,420
,Mechanic,I screwed up most of all! <60>My sole<nl>duty was to protect us from pirates!,Nik hondatu nuen guztia! <60>Nire egiteko bakarra<nl>zuok piratengandik babestea zen!,OtusHouse/onEnter,420
,Mechanic,"If we don't fight back against the pirates,<nl><60>I can't ever make things right!","Eta ez badiegu piratei kontra egiten,<nl><60>ezingo dut inoiz egindakoa zuzendu!",OtusHouse/onEnter,437
,Alphonse,The pirates' next destination<nl>will be a ruin<20> called the <b>Floating Continent<b>.,Piraten hurrengo helburua<nl><b>Kontinente Hegalaria<b> deituriko hondakinak dira.,OtusHouse/onEnter,452
,Alphonse,"In an ancient owl structure there, the owls<nl>hid the last relic that Molstrom needs.","Han ezkutatu zuten hontzek Molstromek behar duen<nl>azken erlikia, antzinako egitura batean.",OtusHouse/onEnter,452
,Alphonse,"We must leave Vellie, and fly high up into <b>Strato<b>.","Vellietik alde egin behar dugu, eta <b>Strato<b>raino igo..",OtusHouse/onEnter,452
,Alphonse,That is where we will find the Floating Continent.,Han aurkituko dugu Kontinente Hegalaria.,OtusHouse/onEnter,452
,Mechanic,Then we should go to <b>Strato<b> now!,"Orduan, berehala jo beharko genuke <b>Strato<b>rantz!",OtusHouse/onEnter,463
,Mechanic,It's the only way we can save Vellie.,Vellie salbatzeko dugun modu bakarra da.,OtusHouse/onEnter,463
,Alphonse,I shall be in hiding here<nl>until you get out of the village.,Hemen ezkutatuko naiz<nl>zuek herritik irten arte.,OtusHouse/onEnter,469
,Mechanic,"Alright, Otus, you ready?","Ados, Otus, prest zaude?",OtusHouse/onEnter,477
,Mechanic,Let's go!,Goazen!,OtusHouse/onEnter,477
,Mechanic,Otus?,Otus?,OtusHouse/onEnter,566
,Mechanic,Otus! <30>You're awake!,Otus! <30>Esnatu zara!,OtusHouse/onEnter,584
,Mechanic,.<20>.<20>.,.<20>.<20>.,OtusHouse/onEnter,591
,Mechanic,"I'm sorry, Otus...","Sentitzen dut, Otus...",OtusHouse/onEnter,600
,Mechanic,I should never have left you guys alone.,Ez zintuzketet inoiz bakarrik utzi beharko.,OtusHouse/onEnter,600
,Mechanic,"As soon as I got back to Vellie,<nl>I knew I'd made a mistake.","Velliera itzuli bezain laster,<nl>ohartu nintzen eginiko akatsaz.",OtusHouse/onEnter,600
,Mechanic,"That Twig guy, he was just<nl>being used by the pirates.","Twig hori, piratek euren<nl>intereserako baliatzen zuten.",OtusHouse/onEnter,600
,Mechanic,"I knew that,<30> but...","Banekien,<30> baina...",OtusHouse/onEnter,600
,Mechanic,I think I wanted someone<nl>to blame<20> after Advent.,Uste dut errudun bat behar<nl>nuela<20> Abendukoa eta gero.,OtusHouse/onEnter,600
,Mechanic,I made my way up to the pirates<nl>and went looking for you straight away.,Piratenganaino igotzea lortu nuen<nl>eta berehala zure bila hasi nintzen.,OtusHouse/onEnter,613
,Mechanic,Stole a pirate chopper and everything.,"Helikoptero pirata bat ere lapurtu nuen, pentsa!",OtusHouse/onEnter,613
,Mechanic,I'm glad I made it in time.,Eskerrak garaiz iritsi nintzela!,OtusHouse/onEnter,613
,Mechanic,Molstrom seemed furious...,Molstrom sutan zegoen...,OtusHouse/onEnter,620
,Mechanic,But enough about this.,Baina nahikoa da.,OtusHouse/onEnter,635
,Mechanic,Twig! <30>Alphonse!<30> Otus is awake!,Twig! <30>Alphonse!<30> Otus esnatu da!,OtusHouse/onEnter,635
,Mechanic,Get in here!,Zatozte!,OtusHouse/onEnter,635
,Spiderguy,"Welcome back, Otus!","Ongi etorri berriz, Otus!",OtusHouse/onEnter,711
,Spiderguy,You've been asleep for so long now!,Luzaroan egon zara lotan!,OtusHouse/onEnter,711
,Mechanic,"I want to talk about what to do next, guys.","Mutilak, gure hurrengo ekintzetaz hitz egin behar dugu.",OtusHouse/onEnter,717
,Mechanic,"Otus, <30>Alphonse says he<nl>saw someone fly off with the Relics.","Otus, <30>Alphonsek dio norbait<nl>ikusi zuela erlikiekin hegan ihes egiten.",OtusHouse/onEnter,717
,Alphonse,Indeed. <30>And that someone went flying up <b>past Mesos<b>.,Hain zuzen ere. <30>Eta norbait hori <b>Mesos baino haratago<b> joan zen hegan.,OtusHouse/onEnter,730
,Mechanic,"We haven't figured out who took the relics, yet, <30>but.<5>.<5>.","Oraindik ez dakigu nork hartu zituen erlikiak, <30>baina.<5>.<5>.",OtusHouse/onEnter,739
,Alphonse,...But whoever took them must<nl>have been behind all of this.,"...Baina edonor dela ere,<nl>guzti honen atzean egon behar du.",OtusHouse/onEnter,748
,Alphonse,The pirates were being fed<nl>information about the Relics.,Piratek nonbaitetik jasotzen zuten<nl>erlikiei buruzko informazioa.,OtusHouse/onEnter,748
,Alphonse,"Someone told them to search<nl>in Vellie,<30> and in Advent.","Norbaitek esan zien<nl>Vellien bilatzeko,<30> eta Abendun.",OtusHouse/onEnter,748
,Alphonse,It would seem that whoever led<nl>them to attack these settlements...,Balirudike piratak asentamenduok erasotzera<nl>bideratu zituen ezezagun hark...,OtusHouse/onEnter,748
,Alphonse,...Have now finally gotten the Relics they wanted.,...nahi zituen erlikiak bereganatu dituela azkenean.,OtusHouse/onEnter,748
,Spiderguy,So the pirates were just being used?,"Beraz, ezezaguna piratetaz baliatu da?",OtusHouse/onEnter,757
,Spiderguy,Serves'em right!,Ondo merezia dute!,OtusHouse/onEnter,772
,Alphonse,Indeed... But whoever did this must<nl>expect Molstrom to retaliate.,Ondo merezia dutenez... Baina hau egin duenak<nl>badaki Molstromek kontraerasoa joko duela.,OtusHouse/onEnter,785
,Alphonse,They must be planning to use the Relics soon.,Erlikiak luze gabe erabiltzeko asmoa izango du.,OtusHouse/onEnter,785
,Alphonse,"With the power of the Relics, they<nl>might escape even Molstrom's wrath.","Erlikien boterearekin, baliteke<nl>Molstromen haserreari ere izkin egitea.",OtusHouse/onEnter,785
,Mechanic,Is there any way we can get to them before that happens?,Ba al dugu beregana hori gertatu aurretik iristeko modurik?,OtusHouse/onEnter,796
,Alphonse,I don't know...,Ez dakit...,OtusHouse/onEnter,801
,Alphonse,It's impossible to fly past the Mesosphere.,Ezinezkoa da Mesosferatik haratago hegan egitea.,OtusHouse/onEnter,801
,Alphonse,We would have to find some way to travel up there.,Hara gora bidaiatzeko eraren bat aurkitu beharko genuke.,OtusHouse/onEnter,801
,Alphonse,"With Advent destroyed, finding a ship won't be easy...","Abendu suntsitua delarik, ez da erraza izango ontzi bat aurkitzea...",OtusHouse/onEnter,801
,Spiderguy,"Well, let's start looking.","Tira, has gaitezen bila.",OtusHouse/onEnter,809
,Spiderguy,There's gotta be some way!,Egon behar du moduren bat!,OtusHouse/onEnter,809
,Mechanic,"There's one more thing, Otus.","Azken gauza bat, Otus.",OtusHouse/onEnter,822
,Mechanic,Don't be too disappointed when we get to Vellie.,Ez zaitez gehiegi desengainatu Velliera joatean.,OtusHouse/onEnter,822
,Mechanic,Things have<20> changed a bit.,Gauzak<20> zertxobait aldatu dira.,OtusHouse/onEnter,822
,Toby,You owls sure are hard-workin'!,Hontzok langile finak zarete!,Vellie/tobyCheck,25
,Toby,"Strix's students are scurrying about<nl>keeping watch, all the way from <b>Advent<b>...",Strixen ikasleak <b>Abendu<b>tik honaino harrapaladan<nl>etortzen dituk zaintza lanetarako...,Vellie/tobyCheck,25
,Toby,...And here you are too!,...eta hi ere... <10>hemen hago!,Vellie/tobyCheck,25
,Toby,I prefer to relax in my hot spring!,Nik nahiago diat ur termaletan erlaxatzea!,Vellie/tobyCheck,25
,Toby,Heheheh!,Jejejej!,Vellie/tobyCheck,33
,Toby,Yer' turnin' a little red there lad!,"Tomateak bezain gorri ari haiz jartzen, mutil!",Vellie/tobyCheck,50
,Toby,I guess you're not as thick skinned as old Toby here.,Antza ez duk Toby xaharrak bezain azal lodia.,Vellie/tobyCheck,50
,Toby,Even the <b>big-ol pirate capt'n<b><nl>would rust up in these here waters!,Ur hauetan <b>pirata kapitain zaharra<b> bera ere<nl>herdoiluko lukek!,Vellie/tobyCheck,50
,Toby,Yer' not doing bad in this heat lad!,"Beroa ondo jasaten duk, mutil!",Vellie/tobyCheck,60
,Toby,I guess you might be as thick skinned as old Toby here.,Antza Toby xaharrak bezain azal lodia duk.,Vellie/tobyCheck,60
,Toby,Even the <b>big-ol pirate capt'n<b><nl>would rust up in these here waters!,Ur hauetan <b>pirata kapitain zaharra<b> bera ere<nl>herdoiluko lukek!,Vellie/tobyCheck,60
,Toby,Heheheh!,Jejejej!,Vellie/tobyCheck,68
,Toby,"With age, you'll endure plenty of hard times lad.","Zahartu ahala, une zailak bizi beharko dituk, mutil.",Vellie/tobyCheck,83
,Toby,You'll get tougher and tougher each day out there!,Egunetik egunera gogortuz joango haiz hor kanpoan!,Vellie/tobyCheck,83
,Toby,Not me tho'!,Ez ni bezala!,Vellie/tobyCheck,83
,Toby,I've been in this spring my entire life!,Bizi osoa zeramaat iturri honetan!,Vellie/tobyCheck,83
,Toby,Heheheh!,Jejejej!,Vellie/tobyCheck,91
,Toby,"What's wrong, Otus?","Zer duk, Otus?",Vellie/tobyCheck,127
,Toby,Did Strix's students do somethin'?,Strixen ikasleek zerbait egin diate?,Vellie/tobyCheck,127
,Toby,"Don't mind them, Otus!","Kasurik ez haiei, Otus!",Vellie/tobyCheck,127
,Toby,They're just trying to get you down.,Hi zirikatzea besterik ez ditek nahi.,Vellie/tobyCheck,127
,Toby,"Here, just soak a bit in the hot spring.<nl>That'll make you feel better.","Hator, beratu pixkat ur berotan.<nl>Honek goxatuko hau.",Vellie/tobyCheck,127
,Toby,"That's the way, Otus!","Hori duk-eta, Otus!",Vellie/tobyCheck,143
,Toby,"The hot spring won't make yer' troubles go away, but...","Ur termalak ez ditik arazoak deusezten, baina...",Vellie/tobyCheck,143
,Toby,...Everything will pass.,...dena konponduko duk.,Vellie/tobyCheck,143
,Toby,"And when we're in here, hard<nl>times don't feel quite as bad.","Eta hemen barruan, une<nl>latzenek ez ziruditek horren txarrak.",Vellie/tobyCheck,143
,Toby,"Oh, Mandolyn got mugged?","O, Mandolynen etxean lapurtu ditek?",Vellie/tobyCheck,160
,Toby,"No? Someone frightened her, then?","Ez? Norbaitek ikaratu dik, orduan?",Vellie/tobyCheck,160
,Toby,"Well, maybe you want to<nl>relax here for a while.","Tira, agian une batez<nl>hemen erlaxatu nahiko duk.",Vellie/tobyCheck,160
,Toby,"I guess Asio has dragged you<nl>out of town at last, eh Otus?","Azkenean Asiok herritik kanpora<nl>atera hauela, e?",Vellie/tobyCheck,188
,Toby,"Ah, I remember when I was out exploring the world.","Ai, gogoan diat mundua arakatzera irten ninduan garaia.",Vellie/tobyCheck,188
,Toby,It's been so long...,Hain aspaldi izan zuan...,Vellie/tobyCheck,188
,Toby,...,...,Vellie/tobyCheck,188
,Toby,Don't forget that you're always welcome in Vellie.,Ez ahaztu Vellien beti izango haizela ongi etorria.,Vellie/tobyCheck,188
,Toby,"And if you ever need a bath,<nl>feel free to use my hot spring!","Eta inoiz bainu bat hartu nahi baduk,<nl>erabili nire iturria beldur gabe!",Vellie/tobyCheck,188
,Toby,Otus!,Otus!,Vellie/tobyCheck,214
,Toby,Glad to see you're awake!,Pozten naik hi esna ikusteak!,Vellie/tobyCheck,214
,Toby,Geddy's around here somewhere.<nl><40>Probably by the <b>graveyard<b>.,Geddy hemen inguruan zebilek.<nl><40>Seguruenera <b>hilerrian<b> egongo duk.,Vellie/tobyCheck,214
,Toby,...,...,Vellie/tobyCheck,224
,Toby,...,...,Vellie/tobyCheck,236
,Toby,Oh!<20> I forgot!,O!<20> Ia ahaztu zaidak!,Vellie/tobyCheck,242
,Toby,"There was a big, red, posh guy checking<nl>on you before the others came back.","Tipo handikote, gorri, dotore bat etorri duk<nl>hire bila besteak iritsi aurretik.",Vellie/tobyCheck,242
,Toby,He skedaddled when I came back<nl>to check on you.,Ziztu bizian alde egin dik hi nola hagoen<nl>ikustera itzuli naizenean.,Vellie/tobyCheck,242
,Toby,Someone you know?,Hire ezagunen bat?,Vellie/tobyCheck,242
,Toby,Come to rest up in my hot spring?,Nire iturri termalean erlaxatzera hator?,Vellie/tobyCheck,257
,Toby,"Oh, Geddy? If he wasn't with you,<nl>he's probably headed to the <b>graveyard<b>.","O, Geddy? Ez bazagok hirekin,<nl>orduan <b>hilerrira<b> joango zuan.",Vellie/tobyCheck,257
,Toby,"Found Geddy, have ya?",Aurkitu duk Geddy azkenean?,Vellie/tobyCheck,269
