Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,YoungMentor,This is a great moment for you!,これは新たな門出なのだ！,영광스러운 순간이지 않느냐!,这对你来说是个机遇！,Для тебя это великая минута!,Questo è un grande momento per te!,Hau une izugarria duk hiretzat!,Das ist ein großer Augenblick für dich!,Este é um momento muito importante!,¡Este es un gran momento para ti!,這對你來說是個機遇！,To dla ciebie wspaniała chwila!,Dette er et stort øyeblikk!,Hau une izugarria duk hiretzat!,Dream/asioLesson,152
,YoungMentor,"Despite being born as a mute,<20><nl>under my tutelage you will become<nl>one of the pillars of our community!",生まれつき口がきけずとも、<20><nl>私の教えを守っていれば、<nl>必ずや村の支柱となれる！,"비록 벙어리로 태어났지만,<20><nl>나의 지도만 받는다면 너는 우리<nl>공동체의 기둥이 될 수 있을 거란다!",尽管你无法说话，<20><nl>但在我的指导下，你将成为<nl>我们社会中的栋梁！,"Хотя ты и родился немым,<20><nl>под моим руководством ты станешь<nl>одним из столпов нашего общества!","Sebbene tu sia nato muto,<20><nl>sotto la mia guida diverrai uno dei<nl>pilastri della nostra comunità!","Mutu jaio bahintzen ere,<20><nl>nire babespean gure komunitateko<nl>zutabe bilakatuko haiz!","Obwohl du stumm geboren wurdest,<20><nl>wirst du durch meine Führung zu<nl>einer Stütze unserer Gemeinschaft!","Apesar de você ter nascido mudo,<20><nl>com a minha orientação, você será<nl>um dos pilares da nossa comunidade!","A pesar de haber nacido mudo,<20><nl>¡bajo mi tutela te convertirás en uno<nl>de los pilares de nuestra comunidad!",儘管你無法說話，<20><nl>但在我的指導下，你將成為<nl>我們社會中的棟樑！,"Chociaż urodziłeś się niemy,<20><nl>to pod moim kierownictwem staniesz się<nl>jednym z filarów naszej społeczności!","Selv om du ikke kan snakke,<30><nl>vil jeg lære deg å bli et forbilde.","Mutu jaio bahintzen ere,<20><nl>nire babespean gure komunitateko<nl>zutabe bilakatuko haiz!",Dream/asioLesson,160
,YoungMentor,"Well, I see there's plenty<nl>we will have to work on.",学ぶことは山ほどあるが...,아직 갈 길은 멀지만 말이다.,嗯，看来我们还有很大的<nl>改进空间。,"Да, вижу,<nl>нам предстоит много работы.",Anche se vedo che c'è molto<nl>lavoro da fare.,"Tira, ikusten diat<nl>lan asko dugula aurretik.","Nun, ich sehe, dass<nl>wir noch viel zu tun haben.","Bem, vejo que ainda existe muito<nl>a ser melhorado.","Bueno, veo que tenemos<nl>mucho trabajo por hacer.",嗯，看來我們還有很大的<nl>改進空間。,"No cóż. Widzę, że czeka nas<nl>sporo pracy.",Vi har mye jobb å gjøre.,"Tira, ikusten diat<nl>lan asko dugula aurretik.",Dream/asioLesson,175
,YoungMentor,"Do not worry, <30>I will straighten you out!",私が<30>一人前にきたえてやろう！,"걱정 말거라, <30>내가 제대로 이끌어줄 테니!",别着急，<30>我会好好教导你的！,"Не беспокойся, <30>я тебя подтяну!","Ma non preoccuparti, <30>ti metterò in riga io!","Ez kezkatu, <30>nik arteztuko haut!","Keine Sorge, <30>alles wird gut!","Não se preocupe, <30>vou te ajudar!","¡No te preocupes, <30>yo te enderezaré!",別著急，<30>我會好好教導你的！,"Nie martw się, <30>doprowadzę cię do porządku!",Men jeg skal nok få skikk på deg!,"Ez kezkatu, <30>nik arteztuko haut!",Dream/asioLesson,179
,Mentor,"I'll be honest with you, Otus.",正直に言う、オータス。,"솔직히 말하마, 오투스.",老实说，Otus。,"Я буду честен с тобой, Отус.","Sarò sincero con te, Otus.","Egia esango diat, Otus.","Ich will ehrlich sein, Otus.","Serei honesto com você, Otus.","Te seré sincero, Otus.",老實說，Otus。,"Otusie, będę z tobą szczery.","Jeg må være ærlig, Otus.","Egia esango diat, Otus.",Dream/asioLessonFlight,21
,Mentor,You haven't been doing<nl>too well in your studies at all.,おまえの学業は今一歩なのだが...,넌 공부는 영 아니더구나.,你在以往的学习中<nl>不尽如人意。,Ты не очень хорошо<nl>справляешься с учебой.,Non sei per niente<nl>bravo negli studi.,Ez haiz sobera<nl>ikasle ona.,Du kommst gar nicht<nl>gut voran.,Você não tem se saído<nl>bem nos estudos.,No te va demasiado<nl>bien en los estudios.,你在以往的學習中<nl>不盡如人意。,Zupełnie nie radzisz sobie<nl>z nauką.,Klassetimene dine har gått dårlig.,Ez haiz sobera<nl>ikasle ona.,Dream/asioLessonFlight,26
,Mentor,So I've been thinking that perhaps<30><nl>your talents simply lie elsewhere.,どこかに<30>才能が眠っているはずなのだ。,그래서 네 재능이 <30>다른 곳에<nl>있는 건 아닐까 생각해 봤단다.,所以我在想，也许<30><nl>你的天赋另有所属。,"И потому я подумал: может быть,<30><nl>твои таланты заключаются в чем-то другом.","Quindi ho pensato che, forse,<30><nl>sei portato per qualcosa di diverso.","Hortaz, bururatu zaidak, agian,<30><nl>hire talentua beste nonbait egongo dela.",Du hast vielleicht einfach<30><nl>nur andere Begabungen.,Por isso pensei que talvez<30><nl>os seus talentos estão relacionados com outra área.,Así que se me ocurre que tal vez<30><nl>tu talento esté en otra parte.,所以我在想，也許<30><nl>你的天賦另有所屬。,"Więc pomyślałem sobie, że być może<30><nl>masz całkiem inne talenty.",Jeg lurer på om du har andre talenter.,"Hortaz, bururatu zaidak, agian,<30><nl>hire talentua beste nonbait egongo dela.",Dream/asioLessonFlight,39
,Mentor,So today we'll be doing some flying.,ゆえに今日は飛ぶことを教える。,그러니 오늘은 비행 연습을 해보겠다.,那我们今天就来试试飞行吧。,Так что сегодня мы займемся полетами.,"Per cui, oggi ci dedicheremo un po' al volo.","Beraz, gaur hegan egingo diagu tarte batez.",Daher werden wir heute mal fliegen.,Hoje vamos tentar voar.,Así que hoy nos dedicaremos un poco a volar.,那我們今天就來試試飛行吧。,Dlatego dzisiaj trochę sobie polatamy.,I dag skal vi se om du kan fly!,"Beraz, gaur hegan egingo diagu tarte batez.",Dream/asioLessonFlight,39
,Mentor,I bet you've been looking<nl>forward to this for a while!,この日を待ちわびていたのではないかな！,너도 아울이니 이 날을<nl>줄곧 기다려 왔겠구나!,我敢说你盼着<nl>这个有好一阵子了！,"Готов спорить, ты<nl>давно об этом мечтал!",Scommetto che non vedevi<nl>l'ora che venisse questo momento!,Ziur une honen zain<nl>egon haizela luzaroan!,Darauf hast du dich<nl>bestimmt schon gefreut!,Aposto que você está esperando<nl>por isso há um bom tempo!,¡Seguro que llevas tiempo<nl>deseando que llegue este momento!,我敢說你盼著<nl>這個有好一陣子了！,"Założę się, że<nl>od dawna na to czekasz!",Jeg tipper du har sett frem til dette!,Ziur une honen zain<nl>egon haizela luzaroan!,Dream/asioLessonFlight,39
,Mentor,Good!<20> Then listen closely.,よろしい！<20>ではよく聞け。,좋아!<20> 그럼 잘 듣거라.,非常好！<20>那就认真听着。,Хорошо!<20> Тогда слушай внимательно.,Bene!<20> Allora ascolta attentamente.,"Ondo!<20> Adi entzun, beraz.",Gut!<20> Dann hör gut zu!,Que bom!<20> Preste atenção.,¡Bien!<20> Escucha atentamente.,非常好！<20>那就認真聽著。,Dobrze!<20> No to słuchaj uważnie.,Bra!<20> Hør godt etter nå.,"Ondo!<20> Adi entzun, beraz.",Dream/asioLessonFlight,52
,Mentor,All you need to do is to<nl><b>jump<b> off the ground.,難しいことはない。<nl>地面から<b>飛びあがり<b>...,"비행을 하려면, 우선 <nl>땅에서 <b>뛰어올라야<b> 한단다.",你所要做的，就是从地面上<nl><b>跳<b>起来。,Нужно просто<nl><b>подпрыгнуть<b> вверх.,Tutto ciò che dovrai fare è<nl><b>saltare<b>.,Gauza bat besterik ez duk<nl>egin behar: <b>jauzi<b>.,Du musst einfach nur<nl>vom Boden <b>abspringen<b>.,Tudo que deve fazer é<nl><b>pular<b>.,Lo único que tienes que<nl>hacer es <b>saltar<b>.,你所要做的，就是從地面上<nl><b>跳<b>起來。,Musisz tylko<nl><b>podskoczyć<b> do góry.,Alt du trenger å gjøre er å <b>hoppe<b>.,Gauza bat besterik ez duk<nl>egin behar: <b>jauzi<b>.,Dream/asioLessonFlight,52
,Mentor,"Then, when you're in mid-air,<nl>spread your wings and flap them.",つばさを広げて、<nl>羽ばたけばよいのだ。,"그리고 공중에 떴을 때,<nl>날개를 펼치고 펄럭이거라.",升至半空中之时，<nl>请你展开双翼，扇动翅膀。,"А потом, пока ты будешь в воздухе,<nl>раскрой крылья и взмахни ими.","Poi, quando sarai a mezz'aria,<nl>spiega le ali e sbattile.","Eta behin airean haizela, zabaldu<nl>hegoak eta hegan egin.","Dann, wenn du halb in der Luft bist,<nl>breitest du deine Flügel aus und flatterst mit ihnen.","Depois, quando estiver no ar,<nl>abra as asas e comece a batê-las.","Y cuando estés en el aire, despliega<nl>tus alas y aletea.",當你升至半空中之時，<nl>展開雙翼，扇動翅膀。,"A kiedy będziesz w powietrzu,<nl>rozłóż skrzydła i machaj nimi.","Mens du er i luften, spre vingene og flaks i vei.","Eta behin airean haizela, zabaldu<nl>hegoak eta hegan egin.",Dream/asioLessonFlight,52
,Mentor,The owl cloak I gave you<nl>should take care of the rest.,あとは私が授けたフクロウマント<nl>に身をゆだねよ。,그럼 내가 준 아울 망토가<nl>알아서 움직일 거란다.,其余的交给<nl>我送你的那件猫头鹰披风就行了。,"Совиный плащ, который я тебе дал,<nl>сделает все остальное.",La cappa del gufo che ti ho dato<nl>dovrebbe fare il resto.,Eman diadan hontz-kapak<nl>egin beharko likek beste guztia.,"Der Eulenumhang, den ich dir gegeben habe,<nl>sollte den Rest besorgen.",A capa de coruja que te dei<nl>te ajudará com o resto.,La capa de búho que te he<nl>dado debería hacer el resto.,其餘的交給<nl>我送你的那件貓頭鷹披風就行了。,"O resztę zadba ta sowia peleryna,<nl>którą ci dałem.",Uglekappen jeg gav deg tar seg av resten.,Eman diadan hontz-kapak<nl>egin beharko likek beste guztia.,Dream/asioLessonFlight,52
,Mentor,"Go, Otus!<20> Show me what you can do!",飛べ、オータス！<20>真価を見せい！,"자 가거라, 오투스!<20> 네 능력을 보여다오!",去吧，Otus！<20>让我瞧瞧你的能耐！,"Давай, Отус!<20> Покажи, на что ты способен!","Forza, Otus!<20> Mostrami cosa sai fare!","Tirok, Otus!<20> Erakutsidak zertarako gai haizen!","Los, Otus!<20> Zeig mir, was du kannst!","Vá, Otus!<20> Mostre o que você consegue fazer!","¡Venga, Otus!<20> ¡Enséñame de lo que eres capaz!",去吧，Otus！<20>讓我瞧瞧你的能耐！,"Dalej, Otusie!<20> Pokaż mi, co potrafisz!","Kom igjen, Otus!<20> Vis meg hva du kan!","Tirok, Otus!<20> Erakutsidak zertarako gai haizen!",Dream/asioLessonFlight,72
,Mandolyn,"Why so nervous, Otus?",不安そうね、オータス？,"오투스, 왜 그렇게 풀이 죽어있어?",你为什么如此紧张，Otus？,"Почему ты так волнуешься, Отус?","Perché sei così nervoso, Otus?","Zergatik zaude urduri, Otus?","Warum so angespannt, Otus?","Por que você está tão nervoso, Otus?","¿Por qué estás tan nervioso, Otus?",你為什麼如此緊張，Otus？,"Otusie, dlaczego się tak denerwujesz?","Er du nervøs, Otus?","Zergatik zaude urduri, Otus?",Dream/mandolyn,5
,Mandolyn,"Of course, you have every reason to be!",ま、あったりまえだけど！,"뭐, 항상 문제만 일으키니 당연하지!",当然，你紧张也无可厚非！,"Хотя, еще бы тебе не волноваться!","Certo, hai tutte le ragioni per esserlo!",Egia! Baduzu horretarako motiborik!,Natürlich hast du allen Grund dafür!,"Claro, você tem muitas razões para estar nervoso!","¡Cierto, tus razones tienes para estarlo!",當然，你緊張也無可厚非！,"Jasne, masz ku temu wszelkie powody!",Det har du all grunn til å være det!,Egia! Baduzu horretarako motiborik!,Dream/mandolyn,15
,Bomboman,You want to know truth?,真実を知りてえか？,진실을 알고 싶니?,你想知道真相吗？,Хочешь знать правду?,Vuoi sapere verità?,Egia jakin nahi duala?,Du willst die Wahrheit wissen?,Quer saber a verdade?,¿Quieres saber la verdad?,你想知道真相嗎？,Chcesz znać prawdę?,Vil du vite sannheten?,Egia jakin nahi duala?,Dream/bomboman,5
,Bomboman,You mute!,おまえは口がきけない！,너는 벙어리일 뿐이야!,你是个哑巴！,Ты немой!,Sei muto!,Mutu hori!,Du bist stumm!,Seu mudo!,¡Eres mudo!,你是個啞巴！,Ty niemowo!,Men du er jo stum!,Mutu hori!,Dream/bomboman,9
,Bomboman,Wouldn't be able to tell anyone anyway!,誰にも言えねえけどな！,그 누구와도 대화할 수 없는 벙어리 말이다!,无论怎样都没法再告诉别人！,Вот только рассказать об этом ты все равно не сможешь!,Non diresti comunque a nessuno!,Ezingo diok inori kontatu baina!,Du kannst sie sowieso niemandem erzählen!,Não seria capaz de contar para os outros mesmo!,¡No podrías contárselo a nadie!,無論怎樣都沒法再告訴別人！,I tak nie mógłbyś nikomu nic powiedzieć!,Du har ingen å fortelle sannheten til!,Ezingo diok inori kontatu baina!,Dream/bomboman,13
,Professor,The truth about you?,おまえさんの真実じゃと？,너에 관한 진실 말이야?,关于你的真相？,Сказать правду о тебе?,La verità su di te?,Hiri buruzko egia?,Die Wahrheit über dich?,A verdade sobre você?,¿La verdad sobre ti?,關於你的真相？,Prawdę o sobie?,Sannheten om deg?,Hiri buruzko egia?,Dream/professor,8
,Professor,Are you sure you want to hear it?,本当に知りたいのか？,듣고 후회나 하지 않겠어?,你确定你想知道吗？,"А ты уверен, что хочешь ее услышать?",Sicuro di volerla sentire?,Ziur entzun nahi duala?,Willst du sie wirklich wissen?,Tem certeza que quer ouvir isso?,¿Seguro que quieres escucharla?,你確定你想知道嗎？,Na pewno chcesz ją poznać?,Er du sikker på at du vil høre den?,Ziur entzun nahi duala?,Dream/professor,18
,Mentor,Otus! Don't stray!,オータス！どこへ行く！,오투스! 딴청 피우지 말거라!,Otus！别走神！,Отус! Не отвлекайся!,Otus! Non allontanarti!,Otus! Ez bidetik atera!,Otus! Verirre dich nicht!,Otus! Não se distraia!,¡Otus! ¡No te desvíes!,Otus！別走神！,Otusie! Nie zgub się!,Otus! Ikke rot deg vekk!,Otus! Ez bidetik atera!,Vellie/Asio/checkStray,20
,Mentor,"I need a word with you, Otus.<nl>Land here beside me.",話がある、オータス。<nl>横へおり立て。,"이야기 좀 하자꾸나, 오투스.<nl>내 옆에 착륙하거라.",我要跟你谈谈，Otus。<nl>在我旁边着陆。,"На пару слов, Отус.<nl>Приземляйся сюда, рядом со мной.","Devo parlare con te, Otus.<nl>Vieni qua.","Hirekin hitz egin behar diat, Otus.<nl>Lurreratu hemen, nire alboan.","Ich muss dich kurz sprechen, Otus.<nl>Lande hier neben mir.","Preciso conversar com você, Otus.<nl>Aterrize perto de mim.","Necesito hablar contigo, Otus.<nl>Aterriza aquí a mi lado.",我要跟你談談，Otus。<nl>在我旁邊著陸。,"Otusie, muszę z tobą zamienić słówko.<nl>Wyląduj tutaj obok mnie.",Jeg må prate med deg.<nl>Land her ved siden av meg.,"Hirekin hitz egin behar diat, Otus.<nl>Lurreratu hemen, nire alboan.",Vellie/Asio/checkStray,20
,Mentor,NOW!,早く！,어서!,现在！,СЕЙЧАС!,ADESSO!,ORAIN!,JETZT!,AGORA!,¡AHORA!,現在！,JUŻ!,NÅ!,ORAIN!,Vellie/Asio/checkStray,20
,Mentor,"Alright, you're flying!<nl><30>Now, try and move around a bit!",うむ、いいぞ！<nl><30>次は少し飛び回ってみよ！,"좋아, 비행했구나!<nl><30>이제, 조금 움직여 보렴!",好的，你已经飞起来了！<nl><30>现在，试试在空中移动！,"Хорошо, ты летишь!<nl><30>Теперь попробуй отлететь подальше!","Molto bene, stai volando!<nl><30>Ora prova a muoverti un po' in giro!","Oso ondo, hegan habil!<nl><30>Orain, saiatu pixka bat mugitzen!","Okay, du fliegst!<nl><30>Versuch dich jetzt etwas durch die Gegend zu bewegen!","Certo, você está voando!<nl><30>Agora, tente se deslocar um pouco!","Muy bien, ¡estás volando!<nl><30>¡Ahora, intenta moverte un poco!",好的，你已經飛起來了！<nl><30>現在，試試在空中移動！,"W porządku, latasz!<nl><30>Teraz spróbuj się trochę poruszać!!","Bra, du kan jo fly!<nl><30>Prøv å bevege deg rundt litt!","Oso ondo, hegan habil!<nl><30>Orain, saiatu pixka bat mugitzen!",Dream/explainMovement,13
,Mentor,See that platform up there?,上の岩場が見えるな？,저 위에 발판이 보이니?,看到那边的平台了吗？,Видишь платформу там наверху?,La vedi quella piattaforma lassù?,Ikusten han goiko plataforma hura?,Siehst du diese Plattform dort oben?,Está vendo aquela plataforma?,¿Ves esa plataforma allí arriba?,看到那邊的平臺了嗎？,Widzisz tamtą platformę u góry?,Ser du den bakken der oppe?,Ikusten han goiko plataforma hura?,Dream/explainMovement,17
,Mentor,"Fly up there and land on that island,<nl><30>then I'll teach you the real tricks.",あそこへおり立つのだ。<nl><30>それから真の技を教えよう。,저 섬까지 올라 착륙하거라.<nl><30>위에서 멋진 기술을 가르쳐 주마.,飞到那儿，降落在岛上，<nl><30>之后我再来教你真正的技巧。,"Лети туда и приземлись на тот остров,<nl><30>а потом я научу тебя настоящим трюкам.","Vola fin lì e atterra su quell'isola,<nl><30>e passeremo a qualcosa di più avanzato.","Egin hegan haraino eta lurreratu uhartean,<nl><30>gero benetako trikimailuak erakutsiko dizkiat.","Flieg dort hinauf und lande auf dieser Insel,<nl><30>dann bringe ich dir die richtigen Tricks bei.","Voe até lá e aterrize naquela ilha,<nl><30>depois te mostrarei uns truques legais.","Vuela allí y aterriza en esa isla,<nl><30>y pasaremos a algo más avanzado.",飛到那兒，降落在島上，<nl><30>之後我再來教你真正的技巧。,"Leć tam i wyląduj na wyspie,<nl><30>a potem nauczę cię prawdziwych sztuczek.","Fly opp dit og land på den,<nl><30>så skal jeg lære deg noen triks.","Egin hegan haraino eta lurreratu uhartean,<nl><30>gero benetako trikimailuak erakutsiko dizkiat.",Dream/explainMovement,38
,Mentor,.<20>.<20>.<20>.,.<20>.<20>.<20>.,…<20>…,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>.,.<20>.<20>.<20>,.<20>.<20>.<20>.,Dream/asioLessonFlightFailed,13
,Mentor,"Hmmm, well, Otus... <30><nl>That was some terrible flying.",むう、オータス...<nl><30>今のはひどい飛び方だった。,"으으음, 그래 오투스…<30><nl>끔찍한 비행이로구나.",嗯，呃，Otus……<30><nl>你飞得可真够糟糕的啊。,"Хм, что ж, Отус... <30><nl>Ужасный полет.","Mmmh, beh, Otus... <30><nl>Un volo davvero mediocre.","Mmm, begira, Otus... <30><nl>Aspaldi ez nuela halako hegaldi kaxkarrik ikusten.","Hmmm, also, Otus ... <30><nl>Das war wirklich schlecht geflogen.","Hummm, bem, Otus... <30><nl>Isso foi terrível.","Mmm, bien, Otus... <30><nl>Ha sido un vuelo terrible.",嗯，呃，Otus……<30><nl>你飛得可真夠糟糕的啊。,"Hmmm, cóż, Otusie... <30><nl>To latanie było okropne.",Otus... <30>Det var elendig flyving.,"Mmm, begira, Otus... <30><nl>Aspaldi ez nuela halako hegaldi kaxkarrik ikusten.",Dream/asioLessonFlightFailed,36
,Mentor,"I have to say, I'm <40>really disappointed.<nl><30>Most students pick this up instantly.",正直...<40>失望したぞ。<nl><30>大半の弟子は一度で覚えることだ。,"솔직히 말해서, <40>정말로 실망했단다.<nl><30>보통은 바로 해내는데 말이다.",我不得不说，我感到<40>很失望。<nl><30>大部分学生对这个都是一点即通。,"Должен признаться, я <40>глубоко разочарован.<nl><30>Обычно ученики схватывают все на лету.","Devo proprio dirtelo, sono<40> molto deluso.<nl><30>La maggior parte degli studenti ci riesce al primo tentativo.","Aitortu behar diat, <40>oso dezepzionatuta nagok.<nl><30>Ikasle gehienek lehenengoan lortzen ditek.","Ich muss zugeben, ich bin <40>sehr enttäuscht.<nl><30>Die meisten Lehrlinge packen das sofort.","Tenho que admitir, estou <40>muito decepcionado.<nl><30>A maioria dos alunos aprendem isso instantaneamente.",He de confesar que estoy <40>muy decepcionado.<nl><30>La mayoría de los alumnos lo pillan a la primera.,我不得不說，我感到<40>很失望。<nl><30>大部分學生對這個都是一點即通。,"Muszę powiedzieć, że jestem <40>naprawdę rozczarowany.<nl><30>Większość uczniów łapie to od razu.",Jeg er <40>meget skuffet.<nl><30>Ugler pleier å mestre dette umiddelbart.,"Aitortu behar diat, <40>oso dezepzionatuta nagok.<nl><30>Ikasle gehienek lehenengoan lortzen ditek.",Dream/asioLessonFlightFailed,44
